Benchmark,Task,Metric
ACE 2005 , Named Entity Recognition ,F1
ADE20K-Outdoor Labels-to-Photos - Image-to,Image Translation ,FID
BSD100 - 2x upscaling - Image Super,Resolution ,PSNR
BSD100 - 4x upscaling - Image Super,Resolution ,SSIM
BSD100 - 4x upscaling - Image Super,Resolution ,PSNR
CIFAR-10 , Image Classification ,Percentage\\ correct
CIFAR-10 , Image Clustering ,Accuracy
CIFAR-10 , Conditional Image Generation ,Inception\\ score
CIFAR-10 , Image Generation ,Inception\\ score
CIFAR-10 , Image Generation ,FID
CIFAR-100 , Image Classification ,Percentage\\ correct
CNN / Daily Mail , Document Summarization ,ROUGE\\-1
CNN / Daily Mail , Document Summarization ,ROUGE\\-2
CNN / Daily Mail , Document Summarization ,ROUGE\\-L
COCO test-challenge , Keypoint Detection ,APL
COCO test-challenge , Keypoint Detection ,AR
COCO test-challenge , Keypoint Detection ,AP50
COCO test-challenge , Keypoint Detection ,ARL
COCO test-challenge , Keypoint Detection ,ARM
COCO test-challenge , Keypoint Detection ,AR75
COCO test-challenge , Keypoint Detection ,AR50
COCO test-dev , Keypoint Detection ,AP50
COCO test-dev , Instance Segmentation ,mask\\ AP
COCO test-dev , Instance Segmentation ,APS
COCO test-dev , Instance Segmentation ,AP50
COCO test-dev , Keypoint Detection ,AP75
COCO test-dev , Keypoint Detection ,APM
COCO test-dev , Keypoint Detection ,AR
COCO test-dev , Keypoint Detection ,ARM
COCO test-dev - Multi,Person Pose Estimation ,APM
CUB 200 5-way 5-shot - Few,Shot Image Classification ,Accuracy
CUB-200-2011 - Fine,Grained Image Classification ,Accuracy
Charades , Action Classification ,MAP
Cityscapes Labels-to-Photo - Image-to,Image Translation ,Per\\-pixel\\ Accuracy
Cityscapes test , Instance Segmentation ,Average\\ Precision
CoNLL 2012 , Coreference Resolution ,Avg\\ F1
Cora , Document Classification ,Accuracy
E2E NLG Challenge - Data-to,Text Generation ,BLEU
FCE , Grammatical Error Detection ,F0\\.5
FDDB , Face Detection ,AP
