benchmark_parent_label,first_date,n_variant,n_row_sum,n_row_min,n_row_max,n_row_mean,n_unique_paper_sum,n_paper_min,n_paper_max,n_paper_mean,n_tasks,tasks,url
ImageNet,2012-12-01,18,808,2,619,44.888888888888886,313,1.0,239.0,20.833333333333332,25,"{'10-shot - Few-Shot Image Classification', 'Image Recognition', 'Zero-Shot Object Detection', 'Weakly Supervised Object Detection', 'Weakly-Supervised Object Localization', '1-shot - Few-Shot Image Classification', 'Classification Consistency', '5-shot - Few-Shot Image Classification', 'Long-tail Learning', '10% labeled data - Semi-Supervised Image Classification', 'Image Classification', 'Domain Generalization', 'Unsupervised Domain Adaptation', 'Image Compression', 'Partial Domain Adaptation', 'Image Generation', 'Quantization', 'Color Image Denoising', '10% labeled data - Image Generation', 'Image Clustering', 'Conditional Image Generation', 'Self-Supervised Image Classification', '1% labeled data - Semi-Supervised Image Classification', '0-Shot - Few-Shot Image Classification', 'Unsupervised Image Classification'}",https://paperswithcode.com/dataset/imagenet
COCO,2014-12-07,26,713,1,328,27.423076923076923,286,1.0,172.0,15.076923076923077,31,"{'Instance Segmentation', 'Object Detection', 'Zero-Shot Object Detection', 'Text-Image Retrieval', 'Weakly Supervised Object Detection', 'Zero-Shot Text-to-Image Generation', 'Activeness Detection', 'Panoptic Segmentation', 'Real-Time Object Detection', 'One-Shot Instance Segmentation', 'Active Object Detection', 'Pose Estimation', 'Visual Question Answering', 'Open World Object Detection', 'Image Captioning', 'Layout-to-Image Generation', 'Multi-Person Pose Estimation', 'Object Counting', 'Few-Shot Object Detection', 'Robust Object Detection', 'Conditional Image Generation', 'Text-to-Image Generation', 'Interactive Segmentation', 'Real-time Instance Segmentation', 'Single-object discovery', 'One-Shot Object Detection', 'Homography Estimation', 'Unsupervised Semantic Segmentation', 'Keypoint Detection', 'Multi-object discovery', 'Cross-Modal Retrieval'}",https://paperswithcode.com/dataset/coco
CIFAR-10,2012-02-13,16,427,1,338,26.6875,274,1.0,242.0,19.9375,11,"{'Quantization', 'Semi-Supervised Image Classification', 'Long-tail Learning', 'Image Classification', 'Image Clustering', 'Small Data Image Classification', 'Image Compression', 'Conditional Image Generation', 'Unsupervised Image Classification', 'Out-of-Distribution Detection', 'Image Generation'}",https://paperswithcode.com/dataset/cifar-10
PASCAL VOC,2014-03-05,14,295,1,94,21.071428571428573,156,1.0,80.0,16.928571428571427,18,"{'Object Counting', 'Object Detection', 'Weakly Supervised Object Detection', 'Single-object discovery', 'Weakly-supervised instance segmentation', 'Real-Time Object Detection', 'One-Shot Object Detection', 'Weakly-Supervised Semantic Segmentation', 'Object Localization', 'Semantic Segmentation', 'Object Proposal Generation', 'Unsupervised Semantic Segmentation', 'Multi-object colocalization', 'Open World Object Detection', 'Image Classification', 'Robust Object Detection', 'Multi-object discovery', 'Semi-Supervised Semantic Segmentation'}",https://paperswithcode.com/dataset/pascal-voc
Cityscapes,2014-12-22,11,285,1,148,25.90909090909091,155,1.0,98.0,19.0,13,"{'Instance Segmentation', 'Scene Parsing', 'Interactive Segmentation', 'Panoptic Segmentation', 'Real-Time Semantic Segmentation', 'Image Generation', 'Semantic Segmentation', 'Image-to-Image Translation', 'Depth Estimation', 'Edge Detection', 'Robust Object Detection', 'Video Semantic Segmentation', 'Semi-Supervised Semantic Segmentation'}",https://paperswithcode.com/dataset/cityscapes
KITTI,2014-07-23,41,421,1,56,10.268292682926829,147,1.0,46.0,8.0,26,"{'Object Detection', 'Depth Completion', 'Visual Place Recognition', 'Vehicle Pose Estimation', 'Horizon Line Estimation', 'Panoptic Segmentation', 'Multiple Object Tracking', 'Novel View Synthesis', '3D Object Detection', 'Unsupervised Domain Adaptation', '3D Multi-Object Tracking', 'Face Verification', '2x upscaling - Image Super-Resolution', 'Monocular 3D Object Detection', 'Stereo Depth Estimation', 'Monocular Depth Estimation', 'Dense Pixel Correspondence Estimation', 'Birds Eye View Object Detection', 'Optical Flow Estimation', 'Point Cloud Registration', 'Object Localization', 'Semantic Segmentation', 'Image-to-Image Translation', '4x upscaling - Image Super-Resolution', 'Scene Flow Estimation', 'Face Anonymization'}",https://paperswithcode.com/dataset/kitti
CIFAR-100,2013-01-16,9,196,1,168,21.77777777777778,141,1.0,123.0,16.77777777777778,9,"{'Few-Shot Image Classification', 'Semi-Supervised Image Classification', 'Long-tail Learning', 'Image Classification', 'Image Clustering', 'Small Data Image Classification', 'Conditional Image Generation', 'Out-of-Distribution Detection', 'Image Generation'}",https://paperswithcode.com/dataset/cifar-100
MNIST,2012-02-13,13,176,1,85,13.538461538461538,121,1.0,60.0,11.153846153846153,12,"{'Fine-Grained Image Classification', 'Superpixel Image Classification', 'Sequential Image Classification', 'Unsupervised Image-To-Image Translation', 'Image Classification', 'Rotated MNIST', 'Handwritten Digit Recognition', 'Image Clustering', 'Video Prediction', 'Domain Adaptation', 'Unsupervised Image Classification', 'Image Generation'}",https://paperswithcode.com/dataset/mnist
CUB-200-2011,2013-06-01,13,154,1,83,11.846153846153847,117,1.0,76.0,10.76923076923077,12,"{'Fine-Grained Image Classification', 'Metric Learning', 'Few-Shot Image Classification', 'Image Retrieval', 'Long-tail learning with class descriptors', 'Image Classification', 'Weakly-Supervised Object Localization', 'Image Clustering', 'Small Data Image Classification', '0-Shot - Few-Shot Image Classification', 'Text-to-Image Generation', 'Image Generation'}",https://paperswithcode.com/dataset/cub-200-2011
NTU RGB+D,2014-06-23,3,158,3,103,52.666666666666664,107,2.0,93.0,43.666666666666664,8,"{'Human Interaction Recognition', 'Generalized Zero Shot skeletal action recognition', 'Skeleton Based Action Recognition', 'Pose Prediction', 'Zero Shot Skeletal Action Recognition', 'Human Action Generation', 'One-Shot 3D Action Recognition', 'Action Recognition'}",https://paperswithcode.com/dataset/ntu-rgb-d
