benchmark_parent_label,first_date,n_variant,n_row_sum,n_row_min,n_row_max,n_row_mean,n_unique_paper_sum,n_paper_min,n_paper_max,n_paper_mean,n_tasks,tasks,url,cumsum
ImageNet,2012-12-01,18,808,2,619,44.888888888888886,313,1.0,239.0,20.833333333333332,25,"{'10-shot - Few-Shot Image Classification', 'Image Recognition', 'Zero-Shot Object Detection', 'Weakly Supervised Object Detection', 'Weakly-Supervised Object Localization', '1-shot - Few-Shot Image Classification', 'Classification Consistency', '5-shot - Few-Shot Image Classification', 'Long-tail Learning', '10% labeled data - Semi-Supervised Image Classification', 'Image Classification', 'Domain Generalization', 'Unsupervised Domain Adaptation', 'Image Compression', 'Partial Domain Adaptation', 'Image Generation', 'Quantization', 'Color Image Denoising', '10% labeled data - Image Generation', 'Image Clustering', 'Conditional Image Generation', 'Self-Supervised Image Classification', '1% labeled data - Semi-Supervised Image Classification', '0-Shot - Few-Shot Image Classification', 'Unsupervised Image Classification'}",https://paperswithcode.com/dataset/imagenet,8804
COCO,2014-12-07,26,713,1,328,27.423076923076923,286,1.0,172.0,15.076923076923077,31,"{'Instance Segmentation', 'Object Detection', 'Zero-Shot Object Detection', 'Text-Image Retrieval', 'Weakly Supervised Object Detection', 'Zero-Shot Text-to-Image Generation', 'Activeness Detection', 'Panoptic Segmentation', 'Real-Time Object Detection', 'One-Shot Instance Segmentation', 'Active Object Detection', 'Pose Estimation', 'Visual Question Answering', 'Open World Object Detection', 'Image Captioning', 'Layout-to-Image Generation', 'Multi-Person Pose Estimation', 'Object Counting', 'Few-Shot Object Detection', 'Robust Object Detection', 'Conditional Image Generation', 'Text-to-Image Generation', 'Interactive Segmentation', 'Real-time Instance Segmentation', 'Single-object discovery', 'One-Shot Object Detection', 'Homography Estimation', 'Unsupervised Semantic Segmentation', 'Keypoint Detection', 'Multi-object discovery', 'Cross-Modal Retrieval'}",https://paperswithcode.com/dataset/coco,8491
CIFAR-10,2012-02-13,16,427,1,338,26.6875,274,1.0,242.0,19.9375,11,"{'Quantization', 'Semi-Supervised Image Classification', 'Long-tail Learning', 'Image Classification', 'Image Clustering', 'Small Data Image Classification', 'Image Compression', 'Conditional Image Generation', 'Unsupervised Image Classification', 'Out-of-Distribution Detection', 'Image Generation'}",https://paperswithcode.com/dataset/cifar-10,8205
PASCAL VOC,2014-03-05,14,295,1,94,21.071428571428573,156,1.0,80.0,16.928571428571427,18,"{'Object Counting', 'Object Detection', 'Weakly Supervised Object Detection', 'Single-object discovery', 'Weakly-supervised instance segmentation', 'Real-Time Object Detection', 'One-Shot Object Detection', 'Weakly-Supervised Semantic Segmentation', 'Object Localization', 'Semantic Segmentation', 'Object Proposal Generation', 'Unsupervised Semantic Segmentation', 'Multi-object colocalization', 'Open World Object Detection', 'Image Classification', 'Robust Object Detection', 'Multi-object discovery', 'Semi-Supervised Semantic Segmentation'}",https://paperswithcode.com/dataset/pascal-voc,7931
Cityscapes,2014-12-22,11,285,1,148,25.90909090909091,155,1.0,98.0,19.0,13,"{'Instance Segmentation', 'Scene Parsing', 'Interactive Segmentation', 'Panoptic Segmentation', 'Real-Time Semantic Segmentation', 'Image Generation', 'Semantic Segmentation', 'Image-to-Image Translation', 'Depth Estimation', 'Edge Detection', 'Robust Object Detection', 'Video Semantic Segmentation', 'Semi-Supervised Semantic Segmentation'}",https://paperswithcode.com/dataset/cityscapes,7775
KITTI,2014-07-23,41,421,1,56,10.268292682926829,147,1.0,46.0,8.0,26,"{'Object Detection', 'Depth Completion', 'Visual Place Recognition', 'Vehicle Pose Estimation', 'Horizon Line Estimation', 'Panoptic Segmentation', 'Multiple Object Tracking', 'Novel View Synthesis', '3D Object Detection', 'Unsupervised Domain Adaptation', '3D Multi-Object Tracking', 'Face Verification', '2x upscaling - Image Super-Resolution', 'Monocular 3D Object Detection', 'Stereo Depth Estimation', 'Monocular Depth Estimation', 'Dense Pixel Correspondence Estimation', 'Birds Eye View Object Detection', 'Optical Flow Estimation', 'Point Cloud Registration', 'Object Localization', 'Semantic Segmentation', 'Image-to-Image Translation', '4x upscaling - Image Super-Resolution', 'Scene Flow Estimation', 'Face Anonymization'}",https://paperswithcode.com/dataset/kitti,7620
CIFAR-100,2013-01-16,9,196,1,168,21.77777777777778,141,1.0,123.0,16.77777777777778,9,"{'Few-Shot Image Classification', 'Semi-Supervised Image Classification', 'Long-tail Learning', 'Image Classification', 'Image Clustering', 'Small Data Image Classification', 'Conditional Image Generation', 'Out-of-Distribution Detection', 'Image Generation'}",https://paperswithcode.com/dataset/cifar-100,7473
MNIST,2012-02-13,13,176,1,85,13.538461538461538,121,1.0,60.0,11.153846153846153,12,"{'Fine-Grained Image Classification', 'Superpixel Image Classification', 'Sequential Image Classification', 'Unsupervised Image-To-Image Translation', 'Image Classification', 'Rotated MNIST', 'Handwritten Digit Recognition', 'Image Clustering', 'Video Prediction', 'Domain Adaptation', 'Unsupervised Image Classification', 'Image Generation'}",https://paperswithcode.com/dataset/mnist,7332
CUB-200-2011,2013-06-01,13,154,1,83,11.846153846153847,117,1.0,76.0,10.76923076923077,12,"{'Fine-Grained Image Classification', 'Metric Learning', 'Few-Shot Image Classification', 'Image Retrieval', 'Long-tail learning with class descriptors', 'Image Classification', 'Weakly-Supervised Object Localization', 'Image Clustering', 'Small Data Image Classification', '0-Shot - Few-Shot Image Classification', 'Text-to-Image Generation', 'Image Generation'}",https://paperswithcode.com/dataset/cub-200-2011,7211
NTU RGB+D,2014-06-23,3,158,3,103,52.666666666666664,107,2.0,93.0,43.666666666666664,8,"{'Human Interaction Recognition', 'Generalized Zero Shot skeletal action recognition', 'Skeleton Based Action Recognition', 'Pose Prediction', 'Zero Shot Skeletal Action Recognition', 'Human Action Generation', 'One-Shot 3D Action Recognition', 'Action Recognition'}",https://paperswithcode.com/dataset/ntu-rgb-d,7094
Market-1501,2014-06-17,5,157,7,99,31.4,102,7.0,79.0,27.4,5,"{'Generalizable Person Re-identification', 'Pose Transfer', 'Person Re-Identification', 'Unsupervised Domain Adaptation', 'Unsupervised Person Re-Identification'}",https://paperswithcode.com/dataset/market-1501,6987
UCF101,2012-12-03,5,146,2,123,29.2,101,2.0,88.0,21.4,6,"{'Self-Supervised Action Recognition', 'Temporal Action Localization', 'Video Frame Interpolation', 'Video Generation', 'Action Detection', 'Action Recognition'}",https://paperswithcode.com/dataset/ucf101,6885
Human3.6M,2013-12-12,1,121,121,121,121.0,79,79.0,79.0,79.0,9,"{'Weakly-supervised 3D Human Pose Estimation', '3D Absolute Human Pose Estimation', '3D Pose Estimation', 'Human Pose Forecasting', 'Video Prediction', '3D Human Pose Estimation', 'Monocular 3D Human Pose Estimation', 'Human Action Generation', 'Pose Retrieval'}",https://paperswithcode.com/dataset/human3-6m,6784
STL-10,2007-12-01,3,163,1,155,54.333333333333336,75,1.0,74.0,27.333333333333332,8,"{'Fine-Grained Image Classification', 'Semi-Supervised Image Classification', 'Image Classification', 'Self-Supervised Learning', 'Image Clustering', 'Unsupervised Image Classification', 'Out-of-Distribution Detection', 'Image Generation'}",https://paperswithcode.com/dataset/stl-10,6705
HMDB51,2014-06-01,9,113,1,63,12.555555555555555,74,1.0,47.0,9.555555555555555,3,"{'Domain Adaptation', 'Action Recognition', 'Self-Supervised Action Recognition'}",https://paperswithcode.com/dataset/hmdb51,6630
SVHN,2013-01-16,8,106,1,60,13.25,70,1.0,46.0,10.75,5,"{'Semi-Supervised Image Classification', 'Image Classification', 'Sparse Representation-based Classification', 'Domain Adaptation', 'Unsupervised Image Classification'}",https://paperswithcode.com/dataset/svhn,6556
DukeMTMC-reID,2014-06-17,4,88,1,77,22.0,69,1.0,62.0,18.25,3,"{'Person Re-Identification', 'Generalizable Person Re-identification', 'Unsupervised Person Re-Identification'}",https://paperswithcode.com/dataset/dukemtmc-reid,6417
DAVIS 2016,2014-06-01,2,84,10,74,42.0,69,10.0,63.0,36.5,4,"{'Unsupervised Video Object Segmentation', 'Video Salient Object Detection', 'Semi-Supervised Video Object Segmentation', 'Video Object Segmentation'}",https://paperswithcode.com/dataset/davis-2016,6486
Set5,2014-12-31,1,112,112,112,112.0,66,66.0,66.0,66.0,5,"{'3x upscaling - Image Super-Resolution', '2x upscaling - Image Super-Resolution', '8x upscaling - Image Super-Resolution', '4x upscaling - Image Super-Resolution', 'Compressive Sensing'}",https://paperswithcode.com/dataset/set5,6348
miniImageNet,2016-06-13,11,187,1,67,17.0,65,1.0,60.0,14.0,1,{'Few-Shot Image Classification'},https://paperswithcode.com/dataset/miniimagenet-1,6282
Set14,2014-12-31,1,99,99,99,99.0,61,61.0,61.0,61.0,4,"{'3x upscaling - Image Super-Resolution', '4x upscaling - Image Super-Resolution', '8x upscaling - Image Super-Resolution', '2x upscaling - Image Super-Resolution'}",https://paperswithcode.com/dataset/set14,6217
Kinetics,2016-08-02,7,157,1,98,22.428571428571427,61,1.0,51.0,10.571428571428571,6,"{'Self-Supervised Action Recognition', 'Action Classification', 'Video Classification', 'Video Generation', 'Video Prediction', 'Boundary Detection'}",https://paperswithcode.com/dataset/kinetics,6156
Stanford Cars,2015-12-10,3,84,6,72,28.0,60,6.0,54.0,22.0,5,"{'Fine-Grained Image Classification', 'Few-Shot Image Classification', 'Image Classification', 'Image Clustering', 'Image Generation'}",https://paperswithcode.com/dataset/stanford-cars,6095
BSD100,2014-12-31,1,88,88,88,88.0,54,54.0,54.0,54.0,5,"{'3x upscaling - Image Super-Resolution', '2x upscaling - Image Super-Resolution', '16x upscaling - Image Super-Resolution', '8x upscaling - Image Super-Resolution', '4x upscaling - Image Super-Resolution'}",https://paperswithcode.com/dataset/bsd100,6035
ADE20K,2014-11-14,4,98,6,45,24.5,52,6.0,31.0,18.5,3,"{'Semantic Segmentation', 'Image-to-Image Translation', 'Scene Understanding'}",https://paperswithcode.com/dataset/ade20k,5981
Urban100,2014-12-31,7,94,2,71,13.428571428571429,49,1.0,45.0,9.142857142857142,8,"{'3x upscaling - Image Super-Resolution', 'Color Image Denoising', '2x upscaling - Image Super-Resolution', 'Grayscale Image Denoising', '2x upscaling - Compressive Sensing', '8x upscaling - Image Super-Resolution', '16x upscaling - Image Super-Resolution', '4x upscaling - Image Super-Resolution'}",https://paperswithcode.com/dataset/urban100,5929
THUMOS14,2015-11-22,5,70,1,41,14.0,44,1.0,31.0,12.0,6,"{'Action Classification', 'Temporal Action Proposal Generation', 'Temporal Action Localization', 'Weakly-supervised Temporal Action Localization', 'Weakly Supervised Action Localization', 'Action Recognition'}",https://paperswithcode.com/dataset/thumos14-1,5880
