benchmark_parent_label,first_date,n_variant,n_row_sum,n_row_min,n_row_max,n_row_mean,n_unique_paper_sum,n_paper_min,n_paper_max,n_paper_mean,n_tasks,tasks,url,cumsum
Oxford-IIIT Pets,2018-05-24,1,30,30,30,30.0,16,16.0,16.0,16.0,3,"{'Fine-Grained Image Classification', 'Image Compression', 'Image Classification'}",https://paperswithcode.com/dataset/oxford-iiit-pets,640
ETH,2018-03-29,1,13,13,13,13.0,13,13.0,13.0,13.0,1,{'Trajectory Prediction'},https://paperswithcode.com/dataset/eth,624
Mini-ImageNet,2018-06-07,1,14,14,14,14.0,12,12.0,12.0,12.0,1,{'1-Shot Learning - Few-Shot Image Classification'},,611
PASCAL-5i (1-Shot),2018-10-22,1,13,13,13,13.0,12,12.0,12.0,12.0,1,{'Few-Shot Semantic Segmentation'},,599
PASCAL-5i (5-Shot),2018-10-22,1,13,13,13,13.0,12,12.0,12.0,12.0,1,{'Few-Shot Semantic Segmentation'},,587
Mapillary Vistas Dataset,2018-09-06,1,11,11,11,11.0,11,11.0,11.0,11.0,3,"{'Semantic Segmentation', 'Visual Place Recognition', 'Panoptic Segmentation'}",https://paperswithcode.com/dataset/mapillary-vistas-dataset,575
SIDD,2018-07-12,1,11,11,11,11.0,11,11.0,11.0,11.0,1,{'Image Denoising'},https://paperswithcode.com/dataset/sidd,564
DND,2018-07-12,1,10,10,10,10.0,10,10.0,10.0,10.0,1,{'Image Denoising'},https://paperswithcode.com/dataset/dnd,523
FC100,2018-05-23,3,25,1,12,8.333333333333334,10,1.0,10.0,7.0,1,{'Few-Shot Image Classification'},https://paperswithcode.com/dataset/fc100,493
In-Shop,2018-04-02,1,11,11,11,11.0,10,10.0,10.0,10.0,2,"{'Metric Learning', 'Image Retrieval'}",,503
ICDAR 2017,2018-01-05,1,14,14,14,14.0,10,10.0,10.0,10.0,1,{'Scene Text Detection'},https://paperswithcode.com/dataset/icdar-2017,513
MS-COCO (30-shot),2018-03-05,1,12,12,12,12.0,10,10.0,10.0,10.0,1,{'Few-Shot Object Detection'},,553
V-COCO,2018-08-23,1,11,11,11,11.0,10,10.0,10.0,10.0,1,{'Human-Object Interaction Detection'},https://paperswithcode.com/dataset/v-coco,533
SHREC,2018-01-21,6,14,1,6,2.3333333333333335,10,1.0,5.0,2.1666666666666665,4,"{'Hand Gesture Recognition', '3D Object Recognition', 'Point Cloud Super Resolution', 'Skeleton Based Action Recognition'}",https://paperswithcode.com/dataset/shrec,543
CUHK-PEDES,2018-08-05,1,9,9,9,9.0,9,9.0,9.0,9.0,1,{'Text based Person Retrieval'},https://paperswithcode.com/dataset/cuhk-pedes,465
HMDB51 (finetuned),2018-06-30,1,12,12,12,12.0,9,9.0,9.0,9.0,1,{'Self-Supervised Action Recognition'},,483
UCF101 (finetuned),2018-06-30,1,12,12,12,12.0,9,9.0,9.0,9.0,1,{'Self-Supervised Action Recognition'},,474
ImageNet-C,2018-11-29,1,27,27,27,27.0,9,9.0,9.0,9.0,2,"{'Unsupervised Domain Adaptation', 'Domain Generalization'}",https://paperswithcode.com/dataset/imagenet-c,456
Foggy Cityscapes,2018-03-08,2,12,6,6,6.0,9,6.0,6.0,6.0,3,"{'Image-to-Image Translation', 'Weakly Supervised Object Detection', 'Unsupervised Domain Adaptation'}",https://paperswithcode.com/dataset/foggy-cityscapes,447
LRS2,2018-09-06,1,10,10,10,10.0,8,8.0,8.0,8.0,2,"{'Lipreading', 'Unconstrained Lip-synchronization'}",https://paperswithcode.com/dataset/lrs2,382
PASCAL-S,2018-06-01,1,8,8,8,8.0,8,8.0,8.0,8.0,3,"{'RGB Salient Object Detection', 'Salient Object Detection', 'Saliency Detection'}",https://paperswithcode.com/dataset/pascal-s,438
Occlusion LineMOD,2018-03-31,1,8,8,8,8.0,8,8.0,8.0,8.0,1,{'6D Pose Estimation using RGB'},,430
N-UCLA,2018-02-22,1,8,8,8,8.0,8,8.0,8.0,8.0,1,{'Skeleton Based Action Recognition'},,422
COFW,2018-02-19,1,9,9,9,9.0,8,8.0,8.0,8.0,1,{'Face Alignment'},https://paperswithcode.com/dataset/cofw,414
RefCOCO,2018-01-24,6,47,7,9,7.833333333333333,8,7.0,8.0,7.5,1,{'Referring Expression Segmentation'},https://paperswithcode.com/dataset/refcoco,406
VQA-CP,2018-08-01,1,9,9,9,9.0,8,8.0,8.0,8.0,1,{'Visual Question Answering'},https://paperswithcode.com/dataset/vqa-cp,398
LaSOT,2018-11-19,1,8,8,8,8.0,8,8.0,8.0,8.0,1,{'Visual Object Tracking'},https://paperswithcode.com/dataset/lasot,390
SoccerNet-v2,2018-04-12,2,18,7,11,9.0,8,1.0,7.0,4.0,4,"{'Action Spotting', 'Camera shot boundary detection', 'Replay Grounding', 'Camera shot segmentation'}",https://paperswithcode.com/dataset/soccernet-v2,374
CAS-VSR-W1k (LRW-1000),2018-10-16,1,10,10,10,10.0,7,7.0,7.0,7.0,1,{'Lipreading'},https://paperswithcode.com/dataset/lrw-1000,366
PF-PASCAL,2018-10-24,1,7,7,7,7.0,7,7.0,7.0,7.0,1,{'Semantic correspondence'},https://paperswithcode.com/dataset/pf-pascal,359
Caltech-101,2018-05-02,1,9,9,9,9.0,7,7.0,7.0,7.0,2,"{'Fine-Grained Image Classification', 'Semantic correspondence'}",https://paperswithcode.com/dataset/caltech-101,352
VIDIT’20 validation set,2018-02-06,1,6,6,6,6.0,6,6.0,6.0,6.0,1,{'Image Relighting'},,339
RESIDE,2018-05-31,3,9,1,4,3.0,6,1.0,4.0,3.0,1,{'Image Dehazing'},https://paperswithcode.com/dataset/reside,333
RAF-DB,2018-05-13,2,6,1,5,3.0,6,1.0,5.0,3.0,1,{'Facial Expression Recognition'},https://paperswithcode.com/dataset/raf-db,327
CrowdHuman,2018-04-30,1,9,9,9,9.0,6,6.0,6.0,6.0,1,{'Object Detection'},https://paperswithcode.com/dataset/crowdhuman,345
BDD100K,2018-11-07,1,6,6,6,6.0,6,6.0,6.0,6.0,5,"{'Object Detection', 'Multiple Object Tracking', 'Lane Detection', 'Semantic Segmentation', 'Steering Control'}",https://paperswithcode.com/dataset/bdd100k,321
