benchmark_parent_label,first_date,n_variant,n_row_sum,n_row_min,n_row_max,n_row_mean,n_unique_paper_sum,n_paper_min,n_paper_max,n_paper_mean,n_tasks,tasks,url,cumsum
Penn Treebank,2004-07-01,4,141,13,71,35.25,101,9.0,55.0,27.25,7,"{'Chunking', 'Dependency Parsing', 'Constituency Grammar Induction', 'Constituency Parsing', 'Language Modelling', 'Part-Of-Speech Tagging', 'Unsupervised Dependency Parsing'}",https://paperswithcode.com/dataset/penn-treebank,3539
GLUE,2013-10-01,9,313,16,71,34.77777777777778,85,12.0,60.0,26.88888888888889,8,"{'Linguistic Acceptability Assessment', 'Semantic Textual Similarity', 'Natural Language Inference', 'Sentiment Analysis', 'Paraphrase Generation', 'Question Answering', 'Paraphrase Identification', 'Natural Language Understanding'}",https://paperswithcode.com/dataset/glue,3438
WMT 2014,2014-06-03,5,152,2,73,30.4,72,1.0,57.0,23.6,2,"{'Machine Translation', 'Unsupervised Machine Translation'}",https://paperswithcode.com/dataset/wmt-2014,3353
SST,2013-10-01,2,97,26,71,48.5,69,23.0,60.0,41.5,1,{'Sentiment Analysis'},https://paperswithcode.com/dataset/sst,3281
CNN/Daily Mail,2015-06-10,2,96,12,84,48.0,68,11.0,61.0,36.0,5,"{'Text Summarization', 'Extractive Text Summarization', 'Abstractive Text Summarization', 'Document Summarization', 'Question Answering'}",https://paperswithcode.com/dataset/cnn-daily-mail-1,3212
SQuAD,2016-08-29,5,543,3,269,108.6,67,2.0,45.0,22.6,3,"{'Question Answering', 'Open-Domain Question Answering', 'Question Generation'}",https://paperswithcode.com/dataset/squad,3144
SNLI,2014-04-08,1,90,90,90,90.0,56,56.0,56.0,56.0,1,{'Natural Language Inference'},https://paperswithcode.com/dataset/snli,3077
CoNLL-2003,2015-11-26,6,75,1,61,12.5,55,1.0,52.0,10.5,3,"{'Named Entity Recognition', 'Chunking', 'Low Resource Named Entity Recognition'}",https://paperswithcode.com/dataset/conll-2003,3021
WikiText-2,2016-11-04,2,83,26,57,41.5,50,18.0,37.0,27.5,1,{'Language Modelling'},https://paperswithcode.com/dataset/wikitext-2,2966
IMDb Movie Reviews,2014-05-16,2,49,8,41,24.5,43,8.0,35.0,21.5,2,"{'Text Classification', 'Sentiment Analysis'}",https://paperswithcode.com/dataset/imdb-movie-reviews,2916
SemEval 2014 Task 4 Sub Task 2,2015-12-03,1,48,48,48,48.0,42,42.0,42.0,42.0,3,"{'Aspect Extraction', 'Aspect-oriented  Opinion Extraction', 'Aspect-Based Sentiment Analysis'}",https://paperswithcode.com/dataset/semeval-2014-task-4-sub-task-2,2873
COCO,2014-12-07,6,64,4,24,10.666666666666666,39,2.0,19.0,8.666666666666666,6,"{'Zero-Shot Text-to-Image Generation', 'Text-to-Image Generation', 'Image Captioning', 'Visual Question Answering', 'Question Generation', 'Active Object Detection'}",https://paperswithcode.com/dataset/coco,2831
OntoNotes 5.0,2014-01-01,2,48,24,24,24.0,38,18.0,20.0,19.0,4,"{'Named Entity Recognition', 'Entity Typing', 'Semantic Role Labeling', 'Coreference Resolution'}",https://paperswithcode.com/dataset/ontonotes-5-0,2792
ACE 2005,2014-06-01,1,42,42,42,42.0,35,35.0,35.0,35.0,4,"{'Named Entity Recognition', 'Relation Extraction', 'Joint Entity and Relation Extraction', 'Nested Named Entity Recognition'}",https://paperswithcode.com/dataset/ace-2005,2754
GigaWord,2015-09-02,1,35,35,35,35.0,29,29.0,29.0,29.0,1,{'Text Summarization'},,2690
Visual Question Answering v2.0,2016-06-06,2,88,22,66,44.0,29,21.0,22.0,21.5,1,{'Visual Question Answering'},https://paperswithcode.com/dataset/visual-question-answering-v2-0,2719
WMT 2016,2016-06-09,10,74,1,19,7.4,27,1.0,17.0,5.8,2,"{'Machine Translation', 'Unsupervised Machine Translation'}",https://paperswithcode.com/dataset/wmt-2016,2661
enwik8,2013-08-04,1,36,36,36,36.0,26,26.0,26.0,26.0,1,{'Language Modelling'},,2634
AG News,2015-09-04,2,25,3,22,12.5,23,1.0,22.0,11.5,3,"{'Semi-Supervised Text Classification', 'Text Classification', 'Short Text Clustering'}",https://paperswithcode.com/dataset/ag-news,2608
WebNLG,2017-06-07,6,38,1,22,6.333333333333333,23,1.0,17.0,4.333333333333333,6,"{'Graph-to-Sequence', 'Relation Extraction', 'Unsupervised semantic parsing', 'Unsupervised KG-to-text', 'KG-to-Text Generation', 'Data-to-Text Generation'}",https://paperswithcode.com/dataset/webnlg,2585
IWSLT2014 German-English,2016-07-24,1,25,25,25,25.0,23,23.0,23.0,23.0,1,{'Machine Translation'},,2562
TACRED,2017-09-01,1,28,28,28,28.0,22,22.0,22.0,22.0,2,"{'Relation Extraction', 'Question Answering'}",https://paperswithcode.com/dataset/tacred,2539
SuperGLUE,2018-10-11,8,63,1,26,7.875,22,1.0,20.0,5.25,5,"{'Common Sense Reasoning', 'Natural Language Inference', 'Word Sense Disambiguation', 'Question Answering', 'Coreference Resolution'}",https://paperswithcode.com/dataset/superglue,2517
IEMOCAP,2017-07-01,1,29,29,29,29.0,22,22.0,22.0,22.0,3,"{'Speech Emotion Recognition', 'Emotion Recognition in Conversation', 'Multimodal Emotion Recognition'}",https://paperswithcode.com/dataset/iemocap,2495
ACE 2004,2014-06-01,2,26,4,22,13.0,21,3.0,18.0,10.5,5,"{'Entity Disambiguation', 'Relation Extraction', 'Named Entity Recognition', 'Nested Mention Recognition', 'Nested Named Entity Recognition'}",https://paperswithcode.com/dataset/ace-2004,2452
UDC,2015-06-30,6,25,1,20,4.166666666666667,21,1.0,20.0,4.166666666666667,3,"{'Conversational Response Selection', 'Dialog Generation', 'Answer Selection'}",https://paperswithcode.com/dataset/ubuntu-dialogue-corpus,2473
DBpedia,2015-09-04,1,21,21,21,21.0,20,20.0,20.0,20.0,1,{'Text Classification'},https://paperswithcode.com/dataset/dbpedia,2431
VisDial,2016-05-31,5,80,1,57,16.0,20,1.0,15.0,6.4,2,"{'Visual Dialog', 'Common Sense Reasoning'}",https://paperswithcode.com/dataset/visdial,2411
Natural Questions,2017-03-31,4,27,1,11,6.75,19,1.0,11.0,6.5,3,"{'Question Answering', 'Open-Domain Question Answering', 'Question Generation'}",https://paperswithcode.com/dataset/natural-questions,2391
NYT,2012-07-01,1,18,18,18,18.0,18,18.0,18.0,18.0,4,"{'Relation Extraction', 'Document Dating', 'Relationship extraction using distant supervision', 'Topic modeling'}",,2336
GENIA,2018-06-01,2,26,1,25,13.0,18,1.0,18.0,9.5,5,"{'Named Entity Recognition', 'Event Extraction', 'UAS - Dependency Parsing', 'LAS - Dependency Parsing', 'Nested Named Entity Recognition'}",https://paperswithcode.com/dataset/genia,2318
DocRED,2019-06-14,1,38,38,38,38.0,18,18.0,18.0,18.0,2,"{'Relation Extraction', 'Joint Entity and Relation Extraction'}",https://paperswithcode.com/dataset/docred,2282
