Series,Cluster
"CIFAR-10, 250 Labels - Semi-Supervised Image Classification benchmarking - CVP",Cluster 1
STL-10 - Image Clustering benchmarking - CVP,Cluster 1
Office-Home - Unsupervised Domain Adaptation benchmarking - CVP,Cluster 1
Extended Yale-B - Image Clustering benchmarking - CVP,Cluster 1
VIVA Hand Gestures Dataset - Hand Gesture Recognition benchmarking - CVP,Cluster 1
CommonsenseQA - Common Sense Reasoning benchmarking - NLP,Cluster 1
VisDA2017 - Domain Adaptation benchmarking - CVP,Cluster 1
USPS - Image Clustering benchmarking - CVP,Cluster 1
MLDoc Zero-Shot English-to-Spanish - Cross-Lingual Document Classification benchmarking - NLP,Cluster 1
MLDoc Zero-Shot English-to-French - Cross-Lingual Document Classification benchmarking - NLP,Cluster 1
Stanford Cars - Image Clustering benchmarking - CVP,Cluster 1
SVNH-to-MNIST - Domain Adaptation benchmarking - CVP,Cluster 1
Kinetics-Skeleton dataset - Skeleton Based Action Recognition benchmarking - CVP,Cluster 1
MLDoc Zero-Shot English-to-Russian - Cross-Lingual Document Classification benchmarking - NLP,Cluster 1
MegaFace - Face Identification benchmarking - CVP,Cluster 1
Mini-ImageNet - 1-Shot Learning - Few-Shot Image Classification benchmarking - CVP,Cluster 1
EV-Action - Multimodal Activity Recognition benchmarking - CVP,Cluster 1
COCO-Stuff Labels-to-Photos - Image-to-Image Translation benchmarking - CVP,Cluster 1
Syn2Real-C - Synthetic-to-Real Translation benchmarking - CVP,Cluster 1
"STL-10, 1000 Labels - Semi-Supervised Image Classification benchmarking - CVP",Cluster 1
TrackingNet - Visual Object Tracking benchmarking - CVP,Cluster 1
CUB 200 5-way 5-shot - Few-Shot Image Classification benchmarking - CVP,Cluster 1
CUB 200 5-way 1-shot - Few-Shot Image Classification benchmarking - CVP,Cluster 1
Trillion Pairs Dataset - Face Verification benchmarking - CVP,Cluster 2
Tiny-ImageNet - Image Clustering benchmarking - CVP,Cluster 2
ImageNet-10 - Image Clustering benchmarking - CVP,Cluster 2
Imagenet-dog-15 - Image Clustering benchmarking - CVP,Cluster 2
UWA3D - Skeleton Based Action Recognition benchmarking - CVP,Cluster 2
CIFAR-100 - Image Clustering benchmarking - CVP,Cluster 2
CIFAR-10 - Image Clustering benchmarking - CVP,Cluster 2
Stanford Dogs - Image Clustering benchmarking - CVP,Cluster 2
CUB Birds - Image Clustering benchmarking - CVP,Cluster 2
Ohsumed - Text Classification benchmarking - NLP,Cluster 2
Trillion Pairs Dataset - Face Identification benchmarking - CVP,Cluster 2
"OMNIGLOT - 1-Shot, 5-way - Few-Shot Image Classification benchmarking - CVP",Cluster 3
AVA - Aesthetics Quality Assessment benchmarking - CVP,Cluster 3
"OMNIGLOT - 5-Shot, 20-way - Few-Shot Image Classification benchmarking - CVP",Cluster 3
"OMNIGLOT - 1-Shot, 20-way - Few-Shot Image Classification benchmarking - CVP",Cluster 3
"SVHN, 1000 labels - Semi-Supervised Image Classification benchmarking - CVP",Cluster 3
CMU-PIE - Image Clustering benchmarking - CVP,Cluster 3
Stanford Cars - Fine-Grained Image Classification benchmarking - CVP,Cluster 3
Kuzushiji-MNIST - Image Classification benchmarking - CVP,Cluster 3
VQA v2 test-dev - Visual Question Answering benchmarking - CVP,Cluster 3
SST-2 Binary classification - Sentiment Analysis benchmarking - NLP,Cluster 3
"SVHN, 250 Labels - Semi-Supervised Image Classification benchmarking - CVP",Cluster 3
MNIST-test - Image Clustering benchmarking - CVP,Cluster 3
Oxford-IIIT Pets - Fine-Grained Image Classification benchmarking - CVP,Cluster 3
N-UCLA - Skeleton Based Action Recognition benchmarking - CVP,Cluster 3
TuSimple - Lane Detection benchmarking - CVP,Cluster 3
ADE20K Labels-to-Photos - Image-to-Image Translation benchmarking - CVP,Cluster 3
ADE20K-Outdoor Labels-to-Photos - Image-to-Image Translation benchmarking - CVP,Cluster 3
IEMOCAP - Emotion Recognition in Conversation benchmarking - CVP,Cluster 3
Oxford 102 Flowers - Fine-Grained Image Classification benchmarking - CVP,Cluster 3
Stanford Dogs - Fine-Grained Image Classification benchmarking - CVP,Cluster 3
"cifar-100, 10000 Labels - Semi-Supervised Image Classification benchmarking - CVP",Cluster 3
NABirds - Fine-Grained Image Classification benchmarking - CVP,Cluster 3
MSVD-QA - Visual Question Answering benchmarking - CVP,Cluster 3
