,date,individual,class,benchmark_process_class_label,performance_measure,metricName,result,model_label
140,2013-01-16,https://identifiers.org/ito:ITO_iILhjkJZYBcz80VeU,https://identifiers.org/ito:ITO_36922,CIFAR-100 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,57.5,Stochastic Pooling
31,2013-02-18,https://identifiers.org/ito:ITO_id3ZbN6eu6cjzqel1,https://identifiers.org/ito:ITO_36922,CIFAR-100 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,61.43,Maxout Network (k=2)
92,2013-12-01,https://identifiers.org/ito:ITO_isasCRftkfuH3Zewe,https://identifiers.org/ito:ITO_36922,CIFAR-100 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,63.2,Tree Priors
134,2013-12-16,https://identifiers.org/ito:ITO_iS6WUMJr1cUTnYBc8,https://identifiers.org/ito:ITO_36922,CIFAR-100 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,64.3,NiN
43,2014-09-18,https://identifiers.org/ito:ITO_ihfFF7OhzUycXLmC2,https://identifiers.org/ito:ITO_36922,CIFAR-100 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,65.4,DSN
110,2014-09-22,https://identifiers.org/ito:ITO_iOO9sepNdZ7rr577H,https://identifiers.org/ito:ITO_36922,CIFAR-100 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,75.7,SSCNN
74,2016-03-16,https://identifiers.org/ito:ITO_ioZdDmx6bXXE6JbTu,https://identifiers.org/ito:ITO_36922,CIFAR-100 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,77.3,ResNet-1001
23,2016-05-23,https://identifiers.org/ito:ITO_icb5X0UXdYKZE9ZCT,https://identifiers.org/ito:ITO_36922,CIFAR-100 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,81.15,Wide ResNet
141,2016-08-25,https://identifiers.org/ito:ITO_iIyPRskaHtMXChsgv,https://identifiers.org/ito:ITO_36922,CIFAR-100 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,82.82,DenseNet-BC
58,2017-09-05,https://identifiers.org/ito:ITO_ileBLn7FSunce1x6D,https://identifiers.org/ito:ITO_36922,CIFAR-100 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,84.59,SENet + ShakeEven + Cutout
84,2018-05-24,https://identifiers.org/ito:ITO_i6r33IfbYk9DEUjok,https://identifiers.org/ito:ITO_36922,CIFAR-100 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,89.3,PyramidNet+ShakeDrop
53,2018-11-16,https://identifiers.org/ito:ITO_iXugBcszvvTmOb6RM,https://identifiers.org/ito:ITO_36922,CIFAR-100 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,91.3,GPIPE
71,2019-05-28,https://identifiers.org/ito:ITO_i4pzPEtIFY54hM3KC,https://identifiers.org/ito:ITO_36922,CIFAR-100 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,91.7,EfficientNet-B7
51,2019-12-24,https://identifiers.org/ito:ITO_ikIse2h5Yz4HeXGIs,https://identifiers.org/ito:ITO_36922,CIFAR-100 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,93.51,BiT-L (ResNet)
121,2020-10-03,https://identifiers.org/ito:ITO_iGtsjtQhROSbqkmIy,https://identifiers.org/ito:ITO_36922,CIFAR-100 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,96.08,EffNet-L2 (SAM)
