,date,individual,class,benchmark_process_class_label,performance_measure,metricName,result,model_label
33,2012-12-01,https://identifiers.org/ito:ITO_iTAZ1wEy8VtaOwNBv,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,63.3,AlexNet
356,2013-11-12,https://identifiers.org/ito:ITO_i7tpqr2d42GdNmUIU,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,64.0,"ZFNet (ensemble, 6 convnets)"
94,2013-12-19,https://identifiers.org/ito:ITO_ifaKg3I4GdSU6a1nR,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,66.3,Five Base + Five HiRes
179,2014-06-18,https://identifiers.org/ito:ITO_iswYZIrjpNjV7iQkO,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,71.32,MSRA
30,2014-06-18,https://identifiers.org/ito:ITO_iGewGOxx6xEEOLDdk,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,72.14,SPPNet
616,2014-09-04,https://identifiers.org/ito:ITO_ier1zMK9pioGxvVyb,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,74.5,VGG-19
59,2015-02-11,https://identifiers.org/ito:ITO_iMoUS2yp8Z7dAEFVg,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,74.8,Inception V2
596,2015-12-02,https://identifiers.org/ito:ITO_iQTybJ7kQ2HKIymkD,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,78.8,Inception V3
530,2016-02-23,https://identifiers.org/ito:ITO_ibkafH2PXED9WkmjE,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,80.1,Inception ResNet V2
387,2016-11-16,https://identifiers.org/ito:ITO_i9ya6dUfvFXyUK0Tg,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,80.9,ResNeXt-101  64x4
433,2017-07-06,https://identifiers.org/ito:ITO_ixY9viZO6MyAGvBNO,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,81.28,"DPN-98 (320x320, Mean-Max Pooling)"
550,2017-07-06,https://identifiers.org/ito:ITO_ifxVXXD3fRBKfhe63,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,81.38,DPN-131 (320x320)
16,2017-07-21,https://identifiers.org/ito:ITO_iFBnXmGYZk96n8qiz,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,82.7,NASNET-A(6)
159,2017-12-02,https://identifiers.org/ito:ITO_inWFGbLKwqbMXJ7tp,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,82.9,PNASNet-5
104,2018-02-05,https://identifiers.org/ito:ITO_iScOZyhWH7sDaFRZJ,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,83.9,AmoebaNet-A
98,2018-05-02,https://identifiers.org/ito:ITO_ifp8J0IYxd9nPVqvQ,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,84.2,ResNeXt-101 32×16d
600,2018-05-02,https://identifiers.org/ito:ITO_ihazzDgF46vrzrifj,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,85.1,ResNeXt-101 32x32d
111,2018-05-02,https://identifiers.org/ito:ITO_iinVHqzFUoWlwofDK,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,85.4,ResNeXt-101 32x48d
595,2019-06-14,https://identifiers.org/ito:ITO_iQRiLYD4OOTpxtKKL,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,86.4,FixResNeXt-101 32x48d
128,2019-11-11,https://identifiers.org/ito:ITO_ilhl3r98Tb4SyMEco,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,86.9,NoisyStudent (EfficientNet-B7)
120,2019-11-11,https://identifiers.org/ito:ITO_ijvMXEyVLn4lAjJWe,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,88.4,NoisyStudent (EfficientNet-L2)
42,2020-03-18,https://identifiers.org/ito:ITO_iLYMsJruE61zpic3A,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,88.5,FixEfficientNet-L2
344,2020-03-23,https://identifiers.org/ito:ITO_i1rxxYopKXWVW2bH4,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,90.0,Meta Pseudo Labels (EfficientNet-B6-Wide)
576,2020-03-23,https://identifiers.org/ito:ITO_ilRE6ZIcwHdHy4yym,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,90.2,Meta Pseudo Labels (EfficientNet-L2)
183,2021-06-08,https://identifiers.org/ito:ITO_it0YC1ieKrOYtDePj,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,90.45,ViT-G/14
