,date,individual,class,class_label,performance_measure,metricName,result,model_label
0,2020-06-19,https://identifiers.org/ito:ITO_i2RRpMD5k7Zdb6Szr,https://identifiers.org/ito:ITO_33753,Fashion-MNIST - Image Clustering benchmarking,https://identifiers.org/ito:ITO_02411,Accuracy,0.612,DTI-Clustering model in \'Deep Transformation-Invariant Clustering\'
8,2019-08-16,https://identifiers.org/ito:ITO_iEEbbW17yeAd18m4f,https://identifiers.org/ito:ITO_33753,Fashion-MNIST - Image Clustering benchmarking,https://identifiers.org/ito:ITO_02411,Accuracy,0.672,N2D (UMAP) model in \'N2D: (Not Too) Deep Clustering via Clustering the Local Manifold of an Autoencoded Embedding\'
16,2018-12-11,https://identifiers.org/ito:ITO_iR3Kz3j14Hg5AaBWH,https://identifiers.org/ito:ITO_33753,Fashion-MNIST - Image Clustering benchmarking,https://identifiers.org/ito:ITO_02411,Accuracy,0.609,DDC-DA model in \'Deep Density-based Image Clustering\'
24,2019-01-23,https://identifiers.org/ito:ITO_idYtx8kzl14NCBbJW,https://identifiers.org/ito:ITO_33753,Fashion-MNIST - Image Clustering benchmarking,https://identifiers.org/ito:ITO_02411,Accuracy,0.591,DynAE model in \'Deep Clustering with a Dynamic Autoencoder: From Reconstruction towards Centroids Construction\'
32,2020-06-05,https://identifiers.org/ito:ITO_iZcPK13zLKux5sENT,https://identifiers.org/ito:ITO_33753,Fashion-MNIST - Image Clustering benchmarking,https://identifiers.org/ito:ITO_02411,Accuracy,0.856,AE+SNNL model in \'Improving k-Means Clustering Performance with Disentangled Internal Representations\'
40,2012-08-25,https://identifiers.org/ito:ITO_ilmcact0V019TATUg,https://identifiers.org/ito:ITO_33753,Fashion-MNIST - Image Clustering benchmarking,https://identifiers.org/ito:ITO_02411,Accuracy,0.627,GDL model in \'Graph Degree Linkage: Agglomerative Clustering on a Directed Graph\'
48,2018-12-11,https://identifiers.org/ito:ITO_iqp9qQZLFU2C2IoAv,https://identifiers.org/ito:ITO_33753,Fashion-MNIST - Image Clustering benchmarking,https://identifiers.org/ito:ITO_02411,Accuracy,0.619,DDC model in \'Deep Density-based Image Clustering\'
56,2020-11-23,https://identifiers.org/ito:ITO_iunEfFsn63YVyP9Wa,https://identifiers.org/ito:ITO_33753,Fashion-MNIST - Image Clustering benchmarking,https://identifiers.org/ito:ITO_02411,Accuracy,0.628,PSSC model in \'Scattering Transform Based Image Clustering using Projection onto Orthogonal Complement\'
64,2020-06-19,https://identifiers.org/ito:ITO_i2RRpMD5k7Zdb6Szr,https://identifiers.org/ito:ITO_33753,Fashion-MNIST - Image Clustering benchmarking,https://identifiers.org/ito:ITO_12664,NMI,0.637,DTI-Clustering model in \'Deep Transformation-Invariant Clustering\'
72,2019-08-16,https://identifiers.org/ito:ITO_iEEbbW17yeAd18m4f,https://identifiers.org/ito:ITO_33753,Fashion-MNIST - Image Clustering benchmarking,https://identifiers.org/ito:ITO_12664,NMI,0.684,N2D (UMAP) model in \'N2D: (Not Too) Deep Clustering via Clustering the Local Manifold of an Autoencoded Embedding\'
80,2018-12-11,https://identifiers.org/ito:ITO_iR3Kz3j14Hg5AaBWH,https://identifiers.org/ito:ITO_33753,Fashion-MNIST - Image Clustering benchmarking,https://identifiers.org/ito:ITO_12664,NMI,0.661,DDC-DA model in \'Deep Density-based Image Clustering\'
88,2019-01-23,https://identifiers.org/ito:ITO_idYtx8kzl14NCBbJW,https://identifiers.org/ito:ITO_33753,Fashion-MNIST - Image Clustering benchmarking,https://identifiers.org/ito:ITO_12664,NMI,0.642,DynAE model in \'Deep Clustering with a Dynamic Autoencoder: From Reconstruction towards Centroids Construction\'
96,2020-06-05,https://identifiers.org/ito:ITO_iZcPK13zLKux5sENT,https://identifiers.org/ito:ITO_33753,Fashion-MNIST - Image Clustering benchmarking,https://identifiers.org/ito:ITO_12664,NMI,0.767,AE+SNNL model in \'Improving k-Means Clustering Performance with Disentangled Internal Representations\'
104,2012-08-25,https://identifiers.org/ito:ITO_ilmcact0V019TATUg,https://identifiers.org/ito:ITO_33753,Fashion-MNIST - Image Clustering benchmarking,https://identifiers.org/ito:ITO_12664,NMI,0.66,GDL model in \'Graph Degree Linkage: Agglomerative Clustering on a Directed Graph\'
112,2018-12-11,https://identifiers.org/ito:ITO_iqp9qQZLFU2C2IoAv,https://identifiers.org/ito:ITO_33753,Fashion-MNIST - Image Clustering benchmarking,https://identifiers.org/ito:ITO_12664,NMI,0.682,DDC model in \'Deep Density-based Image Clustering\'
120,2020-11-23,https://identifiers.org/ito:ITO_iunEfFsn63YVyP9Wa,https://identifiers.org/ito:ITO_33753,Fashion-MNIST - Image Clustering benchmarking,https://identifiers.org/ito:ITO_12664,NMI,0.644,PSSC model in \'Scattering Transform Based Image Clustering using Projection onto Orthogonal Complement\'
