,ds_count,task,ds,date,model_label,value,percent_of_max_sota,gain,ratio,max_sota,percent_of_max_metric,merge
0,1,BIRL: Benchmark on Image Registration methods with Landmark validations,CIMA-10k - BIRL: Benchmark on Image Registration methods with Landmark validations benchmarking,2006-05,bUnwarpJ,-2.82,122.61,-2.82,100,-2.3,1.23,AMrTRE
1,1,BIRL: Benchmark on Image Registration methods with Landmark validations,CIMA-10k - BIRL: Benchmark on Image Registration methods with Landmark validations benchmarking,2008-02,ANTs,-2.3,100.0,0.52,1.0,-2.3,1.0,AMrTRE
0,1,BIRL: Benchmark on Image Registration methods with Landmark validations,CIMA-10k - BIRL: Benchmark on Image Registration methods with Landmark validations benchmarking,2006-05,bUnwarpJ,3.0,100.0,3.0,100,3.0,1.0,MMrTRE
0,1,Diffeomorphic Medical Image Registration,CUMC12 - Diffeomorphic Medical Image Registration benchmarking,2008-02,SyN,0.514,98.85,0.514,100,0.52,0.99,Mean\\ target\\ overlap\\ ratio
1,1,Diffeomorphic Medical Image Registration,CUMC12 - Diffeomorphic Medical Image Registration benchmarking,2019-04,Metric Net (Local Reg),0.52,100.0,0.006,1.0,0.52,1.0,Mean\\ target\\ overlap\\ ratio
0,1,Monocular Depth Estimation,NYU-Depth V2 - Monocular Depth Estimation benchmarking,2014-11,Eigen et al.,-0.641,163.52,-0.641,100,-0.392,1.64,RMSE
1,1,Monocular Depth Estimation,NYU-Depth V2 - Monocular Depth Estimation benchmarking,2016-07,Li et al.,-0.635,161.99,0.006,0.0241,-0.392,1.62,RMSE
2,1,Monocular Depth Estimation,NYU-Depth V2 - Monocular Depth Estimation benchmarking,2017-04,Xu et al.,-0.586,149.49,0.049,0.1968,-0.392,1.49,RMSE
3,1,Monocular Depth Estimation,NYU-Depth V2 - Monocular Depth Estimation benchmarking,2018-03,SENet-154,-0.53,135.2,0.056,0.2249,-0.392,1.35,RMSE
4,1,Monocular Depth Estimation,NYU-Depth V2 - Monocular Depth Estimation benchmarking,2018-06,DORN,-0.509,129.85,0.021,0.0843,-0.392,1.3,RMSE
5,1,Monocular Depth Estimation,NYU-Depth V2 - Monocular Depth Estimation benchmarking,2018-12,DenseDepth,-0.465,118.62,0.044,0.1767,-0.392,1.19,RMSE
6,1,Monocular Depth Estimation,NYU-Depth V2 - Monocular Depth Estimation benchmarking,2019-07,BTS,-0.392,100.0,0.073,0.2932,-0.392,1.0,RMSE
7,1,Object Counting,CARPK - Object Counting benchmarking,2015-06,Faster R-CNN (2015),-47.67,559.51,-47.67,100,-8.52,121.61,RMSE
8,1,Object Counting,CARPK - Object Counting benchmarking,2016-09,One-Look Regression (2016),-36.73,431.1,10.94,0.2794,-8.52,93.7,RMSE
9,1,Object Counting,CARPK - Object Counting benchmarking,2017-07,LPN Counting (2017),-34.46,404.46,2.27,0.058,-8.52,87.91,RMSE
10,1,Object Counting,CARPK - Object Counting benchmarking,2017-07,RetinaNet (2018),-22.3,261.74,12.16,0.3106,-8.52,56.89,RMSE
11,1,Object Counting,CARPK - Object Counting benchmarking,2019-04,Soft-IoU + EM-Merger unit,-8.52,100.0,13.78,0.352,-8.52,21.73,RMSE
12,1,Monocular Depth Estimation,Mid-Air Dataset - Monocular Depth Estimation benchmarking,2016-09,Monodepth,-13.595,100.0,-13.595,100,-13.595,34.68,RMSE
