,date,individual,class,class_label,performance_measure,metricName,result,model_label
0,2020-04-19,https://identifiers.org/ito:ITO_i5LAeOJmtOqoHb91K,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,83.9,ResNeSt-200 model in \'ResNeSt: Split-Attention Networks\'
8,2021-04-01,https://identifiers.org/ito:ITO_i5lgbzTVaQdqb0Dha,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,85.1,EfficientNetV2-M model in \'EfficientNetV2: Smaller Models and Faster Training\'
16,2020-10-12,https://identifiers.org/ito:ITO_i5VJ3VLLFjRph2CRI,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,81.2,ResNeXt-101 (Debiased+CutMix) model in \'Shape-Texture Debiased Neural Network Training\'
24,2020-01-18,https://identifiers.org/ito:ITO_i5XtcAUhFv8ltBkl0,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,82.66,"Harm-SE-RNX-101 64x4d (320x320, Mean-Max Pooling) model in \'Harmonic Convolutional Networks based on Discrete Cosine Transform\'"
32,2017-07-06,https://identifiers.org/ito:ITO_i5YELbdfCj2irYXqJ,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,77.85,DPN-68 (320x320) model in \'Dual Path Networks\'
40,2021-03-31,https://identifiers.org/ito:ITO_i6Azw3lwDYS9QtCSM,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,85.3,CAIT-S-48 model in \'Going deeper with Image Transformers\'
48,2021-03-29,https://identifiers.org/ito:ITO_i6d8KdzWZYqDYjpCx,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,84.9,"CvT-21 (384 res, ImageNet-22k pretrain) model in \'CvT: Introducing Convolutions to Vision Transformers\'"
56,2021-01-27,https://identifiers.org/ito:ITO_i6FtzOLoT4ULIUo2i,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,82.2,SENet-152 model in \'Bottleneck Transformers for Visual Recognition\'
64,2019-04-02,https://identifiers.org/ito:ITO_i6HfOTatMxxL4XAy1,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,78.59,Res2Net-50-299 model in \'Res2Net: A New Multi-scale Backbone Architecture\'
72,2017-04-17,https://identifiers.org/ito:ITO_iLThmJvClyRHCEevP,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,70.6,MobileNet-224 model in \'MobileNets: Efficient Convolutional Neural Networks for Mobile Vision Applications\'
