,date,individual,class,class_label,performance_measure,metricName,result,model_label
0,2017-03-30,https://identifiers.org/ito:ITO_i1b4VkOa8gYpe4H5Q,https://identifiers.org/ito:ITO_24621,UCF101 - Action Recognition benchmarking,https://identifiers.org/ito:ITO_07174,3-fold Accuracy,94.1,TS-LSTM model in \'TS-LSTM and Temporal-Inception: Exploiting Spatiotemporal Dynamics for Activity Recognition\'
8,2019-06-13,https://identifiers.org/ito:ITO_i1pxPhb52Xr5PeXuy,https://identifiers.org/ito:ITO_24621,UCF101 - Action Recognition benchmarking,https://identifiers.org/ito:ITO_07174,3-fold Accuracy,97,LGD-3D RGB model in \'Learning Spatio-Temporal Representation with Local and Global Diffusion\'
16,2018-10-27,https://identifiers.org/ito:ITO_i1VyPN9nRno02JY61,https://identifiers.org/ito:ITO_24621,UCF101 - Action Recognition benchmarking,https://identifiers.org/ito:ITO_07174,3-fold Accuracy,96.4,A2-Net (ResNet-50) model in \'$A^2$-Nets: Double Attention Networks\'
24,2020-02-11,https://identifiers.org/ito:ITO_i2N3GV0tOzeGW1S2K,https://identifiers.org/ito:ITO_24621,UCF101 - Action Recognition benchmarking,https://identifiers.org/ito:ITO_07174,3-fold Accuracy,95.2,TesNet (ImageNet pretrained) model in \'Learning spatio-temporal representations with temporal squeeze pooling\'
32,2017-11-30,https://identifiers.org/ito:ITO_i2nW6nLEU3MHilgYP,https://identifiers.org/ito:ITO_24621,UCF101 - Action Recognition benchmarking,https://identifiers.org/ito:ITO_07174,3-fold Accuracy,95.5,R[2+1]D-Flow (Kinetics pretrained) model in \'A Closer Look at Spatiotemporal Convolutions for Action Recognition\'
40,2017-05-22,https://identifiers.org/ito:ITO_i35VVlKmSOkiDtjAl,https://identifiers.org/ito:ITO_24621,UCF101 - Action Recognition benchmarking,https://identifiers.org/ito:ITO_07174,3-fold Accuracy,93.4,"Two-stream I3D model in \'Quo Vadis, Action Recognition? A New Model and the Kinetics Dataset\'"
48,2017-11-30,https://identifiers.org/ito:ITO_i3rC7iZahgADZMOnl,https://identifiers.org/ito:ITO_24621,UCF101 - Action Recognition benchmarking,https://identifiers.org/ito:ITO_07174,3-fold Accuracy,95,R[2+1]D-TwoStream (Sports-1M pretrained) model in \'A Closer Look at Spatiotemporal Convolutions for Action Recognition\'
56,2016-04-15,https://identifiers.org/ito:ITO_i6ijsBO3ZgxruCrsB,https://identifiers.org/ito:ITO_24621,UCF101 - Action Recognition benchmarking,https://identifiers.org/ito:ITO_07174,3-fold Accuracy,91.7,LTC model in \'Long-term Temporal Convolutions for Action Recognition\'
64,2019-06-19,https://identifiers.org/ito:ITO_i6x4DVMuau6Xm1lMr,https://identifiers.org/ito:ITO_24621,UCF101 - Action Recognition benchmarking,https://identifiers.org/ito:ITO_07174,3-fold Accuracy,91.5,R-STAN-50 model in \'R-STAN: Residual Spatial-Temporal Attention Network for Action Recognition\'
72,2017-11-30,https://identifiers.org/ito:ITO_i7wGafkDiO0yEe6D4,https://identifiers.org/ito:ITO_24621,UCF101 - Action Recognition benchmarking,https://identifiers.org/ito:ITO_07174,3-fold Accuracy,93.6,R[2+1]D-RGB (Sports-1M pretrained) model in \'A Closer Look at Spatiotemporal Convolutions for Action Recognition\'
80,2019-04-25,https://identifiers.org/ito:ITO_iA301R2rbv3ya9viJ,https://identifiers.org/ito:ITO_24621,UCF101 - Action Recognition benchmarking,https://identifiers.org/ito:ITO_07174,3-fold Accuracy,97.8,HATNet (32 frames) model in \'Large Scale Holistic Video Understanding\'
88,2018-09-11,https://identifiers.org/ito:ITO_iCDzcekk2UTRNxZye,https://identifiers.org/ito:ITO_24621,UCF101 - Action Recognition benchmarking,https://identifiers.org/ito:ITO_07174,3-fold Accuracy,94.3,TSN+TSM model in \'Temporal-Spatial Mapping for Action Recognition\'
96,2012-12-03,https://identifiers.org/ito:ITO_iCPPnmgziqC5B0nTe,https://identifiers.org/ito:ITO_24621,UCF101 - Action Recognition benchmarking,https://identifiers.org/ito:ITO_07174,3-fold Accuracy,43.9,Baseline UCF101 model in \'UCF101: A Dataset of 101 Human Actions Classes From Videos in The Wild\'
104,2019-08-09,https://identifiers.org/ito:ITO_iCQxmkCP0uJNAWTyp,https://identifiers.org/ito:ITO_24621,UCF101 - Action Recognition benchmarking,https://identifiers.org/ito:ITO_07174,3-fold Accuracy,95.1,I3D-LSTM model in \'I3D-LSTM: A New Model for Human Action Recognition\'
112,2019-06-13,https://identifiers.org/ito:ITO_iDAyjc9theOlTccGp,https://identifiers.org/ito:ITO_24621,UCF101 - Action Recognition benchmarking,https://identifiers.org/ito:ITO_07174,3-fold Accuracy,96.8,LGD-3D Flow model in \'Learning Spatio-Temporal Representation with Local and Global Diffusion\'
120,2017-05-22,https://identifiers.org/ito:ITO_iDKMhgyQkWFWGLPhW,https://identifiers.org/ito:ITO_24621,UCF101 - Action Recognition benchmarking,https://identifiers.org/ito:ITO_07174,3-fold Accuracy,95.1,"RGB-I3D (Kinetics pre-training) model in \'Quo Vadis, Action Recognition? A New Model and the Kinetics Dataset\'"
128,2017-11-29,https://identifiers.org/ito:ITO_iF305vwalct0ZQuvT,https://identifiers.org/ito:ITO_24621,UCF101 - Action Recognition benchmarking,https://identifiers.org/ito:ITO_07174,3-fold Accuracy,96,Optical Flow Guided Feature model in \'Optical Flow Guided Feature: A Fast and Robust Motion Representation for Video Action Recognition\'
136,2020-12-19,https://identifiers.org/ito:ITO_iGFt3UipyBWj8z2pI,https://identifiers.org/ito:ITO_24621,UCF101 - Action Recognition benchmarking,https://identifiers.org/ito:ITO_07174,3-fold Accuracy,98.64,SMART model in \'SMART Frame Selection for Action Recognition\'
144,2019-04-01,https://identifiers.org/ito:ITO_iIBYeONxE5zsoX24Z,https://identifiers.org/ito:ITO_24621,UCF101 - Action Recognition benchmarking,https://identifiers.org/ito:ITO_07174,3-fold Accuracy,92,two-in-one two stream model in \'Dance with Flow: Two-in-One Stream Action Detection\'
152,2015-03-31,https://identifiers.org/ito:ITO_iInIkVcfWoMDctGKo,https://identifiers.org/ito:ITO_24621,UCF101 - Action Recognition benchmarking,https://identifiers.org/ito:ITO_07174,3-fold Accuracy,88.6,Two-stream+LSTM model in \'Beyond Short Snippets: Deep Networks for Video Classification\'
160,2017-11-30,https://identifiers.org/ito:ITO_iJ9g4j2pcWhIkmwyf,https://identifiers.org/ito:ITO_24621,UCF101 - Action Recognition benchmarking,https://identifiers.org/ito:ITO_07174,3-fold Accuracy,96.8,R[2+1]D-RGB (Kinetics pretrained) model in \'A Closer Look at Spatiotemporal Convolutions for Action Recognition\'
168,2018-12-19,https://identifiers.org/ito:ITO_iJpVpmVA6WpHIM7Sp,https://identifiers.org/ito:ITO_24621,UCF101 - Action Recognition benchmarking,https://identifiers.org/ito:ITO_07174,3-fold Accuracy,97,D3D (Kinetics-400 pretraining) model in \'D3D: Distilled 3D Networks for Video Action Recognition\'
176,2019-12-10,https://identifiers.org/ito:ITO_iK34tExtOLZAR8MjT,https://identifiers.org/ito:ITO_24621,UCF101 - Action Recognition benchmarking,https://identifiers.org/ito:ITO_07174,3-fold Accuracy,79.83,HalluciNet (ResNet-50) model in \'HalluciNet-ing Spatiotemporal Representations Using a 2D-CNN\'
184,2018-12-19,https://identifiers.org/ito:ITO_iKLAc6Yq3XpeoKk9I,https://identifiers.org/ito:ITO_24621,UCF101 - Action Recognition benchmarking,https://identifiers.org/ito:ITO_07174,3-fold Accuracy,97.1,D3D (Kinetics-600 pretraining) model in \'D3D: Distilled 3D Networks for Video Action Recognition\'
192,2019-06-13,https://identifiers.org/ito:ITO_iKlK9ofEB55iDbyep,https://identifiers.org/ito:ITO_24621,UCF101 - Action Recognition benchmarking,https://identifiers.org/ito:ITO_07174,3-fold Accuracy,98.2,LGD-3D Two-stream model in \'Learning Spatio-Temporal Representation with Local and Global Diffusion\'
200,2017-05-22,https://identifiers.org/ito:ITO_iflKgUNIp6kHyKrZE,https://identifiers.org/ito:ITO_24621,UCF101 - Action Recognition benchmarking,https://identifiers.org/ito:ITO_07174,3-fold Accuracy,98,"Two-Stream I3D (Imagenet+Kinetics pre-training) model in \'Quo Vadis, Action Recognition? A New Model and the Kinetics Dataset\'"
