,date,individual,class,benchmark_process_class_label,performance_measure,metricName,result,model_label
70,2012-02-13,https://identifiers.org/ito:ITO_ibC8VFVJQdlkIfmwb,https://identifiers.org/ito:ITO_37737,CIFAR-10 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,88.8,MCDNN
151,2012-06-13,https://identifiers.org/ito:ITO_ij5eI4m36tY7v3dqK,https://identifiers.org/ito:ITO_37737,CIFAR-10 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,90.5,GP EI
62,2013-02-18,https://identifiers.org/ito:ITO_irte5BgTcCrJ3ecE1,https://identifiers.org/ito:ITO_37737,CIFAR-10 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,90.65,Maxout Network (k=2)
146,2013-12-16,https://identifiers.org/ito:ITO_iwnYGYUm1FRrJIMK4,https://identifiers.org/ito:ITO_37737,CIFAR-10 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,91.2,Network in Network
150,2014-09-18,https://identifiers.org/ito:ITO_iiVMpD1UKknjRTLNs,https://identifiers.org/ito:ITO_37737,CIFAR-10 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,91.8,DSN
129,2014-09-22,https://identifiers.org/ito:ITO_iP84uJYLNsfR0fPHY,https://identifiers.org/ito:ITO_37737,CIFAR-10 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,93.7,SSCNN
107,2014-12-18,https://identifiers.org/ito:ITO_i6GKABm0FexA4dRJK,https://identifiers.org/ito:ITO_37737,CIFAR-10 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,96.5,Fractional MP
28,2016-08-25,https://identifiers.org/ito:ITO_iGtBasgLegHhhL2z7,https://identifiers.org/ito:ITO_37737,CIFAR-10 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,96.54,DenseNet (DenseNet-BC-190)
110,2016-10-10,https://identifiers.org/ito:ITO_i8JJDajSxHvUzYvZN,https://identifiers.org/ito:ITO_37737,CIFAR-10 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,96.69,Deep pyramidal residual network
154,2017-09-05,https://identifiers.org/ito:ITO_ilH2Cg1DkbHpk1MUM,https://identifiers.org/ito:ITO_37737,CIFAR-10 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,97.88,SENet + ShakeShake + Cutout
41,2018-11-16,https://identifiers.org/ito:ITO_iHphlOuE9qawcXiue,https://identifiers.org/ito:ITO_37737,CIFAR-10 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,99.0,GPIPE + transfer learning
186,2019-01-01,https://identifiers.org/ito:ITO_iZcpyWmTCyuWtBc5A,https://identifiers.org/ito:ITO_37737,CIFAR-10 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,99.03,LaNet
184,2019-12-24,https://identifiers.org/ito:ITO_izuTq9QTUqkOPsrGo,https://identifiers.org/ito:ITO_37737,CIFAR-10 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,99.37,BiT-L (ResNet)
136,2020-10-03,https://identifiers.org/ito:ITO_iR6KlLFUXAlDW5dA4,https://identifiers.org/ito:ITO_37737,CIFAR-10 - Image Classification benchmarking,https://identifiers.org/ito:ITO_08679,Percentage correct,99.7,EffNet-L2 (SAM)
