,date,individual,class,benchmark_process_class_label,performance_measure,metricName,result,model_label
50,2003-07-18,https://identifiers.org/ito:ITO_izaNxE1rJseMr89CW,https://identifiers.org/ito:ITO_39851,PROTEINS - Graph Classification benchmarking,https://identifiers.org/ito:ITO_02411,Accuracy,74.22,RW
60,2015-08-10,https://identifiers.org/ito:ITO_id0728195keEWFKiR,https://identifiers.org/ito:ITO_39851,PROTEINS - Graph Classification benchmarking,https://identifiers.org/ito:ITO_02411,Accuracy,75.68,DGK
63,2016-03-20,https://identifiers.org/ito:ITO_ihSgYh2JroEwjzgfG,https://identifiers.org/ito:ITO_39851,PROTEINS - Graph Classification benchmarking,https://identifiers.org/ito:ITO_02411,Accuracy,76.34,MLG
25,2016-06-03,https://identifiers.org/ito:ITO_ilWZRaChR7fMMNoQj,https://identifiers.org/ito:ITO_39851,PROTEINS - Graph Classification benchmarking,https://identifiers.org/ito:ITO_02411,Accuracy,76.4,WL-OA
17,2018-11-11,https://identifiers.org/ito:ITO_iFjCQdXhcVTA9Gzux,https://identifiers.org/ito:ITO_39851,PROTEINS - Graph Classification benchmarking,https://identifiers.org/ito:ITO_02411,Accuracy,77.65,GIC
58,2018-11-17,https://identifiers.org/ito:ITO_iW63ZMEEKS2z5HPw5,https://identifiers.org/ito:ITO_39851,PROTEINS - Graph Classification benchmarking,https://identifiers.org/ito:ITO_02411,Accuracy,77.71,DGA
42,2019-04-01,https://identifiers.org/ito:ITO_iPLtv4UdSkeutIOhQ,https://identifiers.org/ito:ITO_39851,PROTEINS - Graph Classification benchmarking,https://identifiers.org/ito:ITO_02411,Accuracy,78.35,DS-CNNs (Random Walk)
39,2019-04-01,https://identifiers.org/ito:ITO_iOgnavqkIYMJK6t9Z,https://identifiers.org/ito:ITO_39851,PROTEINS - Graph Classification benchmarking,https://identifiers.org/ito:ITO_02411,Accuracy,78.8,QS-CNNs (Quantum Walk)
24,2019-05-21,https://identifiers.org/ito:ITO_ilwpsjH5mQO1gVYki,https://identifiers.org/ito:ITO_39851,PROTEINS - Graph Classification benchmarking,https://identifiers.org/ito:ITO_02411,Accuracy,78.97,sGIN
4,2019-09-22,https://identifiers.org/ito:ITO_i83v7a1kaEAbjSnlj,https://identifiers.org/ito:ITO_39851,PROTEINS - Graph Classification benchmarking,https://identifiers.org/ito:ITO_02411,Accuracy,81.7,DUGNN
2,2019-11-14,https://identifiers.org/ito:ITO_i3qwHAj0sk2lIhLGW,https://identifiers.org/ito:ITO_39851,PROTEINS - Graph Classification benchmarking,https://identifiers.org/ito:ITO_02411,Accuracy,84.91,HGP-SL
