level_key,l1,l2,l3,task
Analysis // Entity Resolution,Natural language analysis,Entity Resolution,Entity Resolution,Entity Resolution
Analysis // Information extraction,Natural language analysis,Information extraction,Relation extraction,Relation extraction
Analysis // Information extraction,Natural language analysis,Information extraction,Relation extraction,Relationship extraction using distant supervision
Analysis // Information extraction,Natural language analysis,Information extraction,Named entity recognition,Named entity recognition
Analysis // Information extraction,Natural language analysis,Information extraction,Named entity recognition,Chinese named entity recognition
Analysis // Information extraction,Natural language analysis,Information extraction,Entity extraction,Joint entity and relation extraction
Analysis // Information extraction,Natural language analysis,Information extraction,Named entity recognition,Medical named entity recognition
Analysis // Information extraction,Natural language analysis,Information extraction,Relation extraction,Dialog relation extraction
Analysis // Information extraction,Natural language analysis,Information extraction,Participant intervention comparison outcome extraction,Participant intervention comparison outcome extraction
Analysis // Information extraction,Natural language analysis,Information extraction,Named entity recognition,Nested named entity recognition
Analysis // Information extraction,Natural language analysis,Information extraction,Relation extraction,Relation classification
Analysis // Information retrieval,Natural language analysis,Information retrieval,Conversational response selection,Conversational response selection
Analysis // Information retrieval,Natural language analysis,Information retrieval,Passage Retrieval,Passage Retrieval
Analysis // Information retrieval,Natural language analysis,Information retrieval,Ad-hoc information retrieval,Ad-hoc information retrieval
Analysis // Morphological analysis,Natural language analysis,Morphological analysis,Lexical normalization,Lexical normalization
Analysis // Pragmatics analysis // Coreference resolution,Natural language analysis,Pragmatics analysis,Coreference resolution,Coreference resolution
Analysis // Pragmatics analysis // Emotion recognition,Natural language analysis,Pragmatics analysis,Emotion recognition,Speech emotion recognition
Analysis // Pragmatics analysis // Emotion recognition,Natural language analysis,Pragmatics analysis,Emotion recognition,Emotion recognition in conversation
Analysis // Pragmatics analysis // Emotion recognition,Natural language analysis,Pragmatics analysis,Emotion recognition,Emotion-cause pair extraction
Analysis // Pragmatics analysis // Emotion recognition,Natural language analysis,Pragmatics analysis,Emotion recognition,Emotion recognition
"Analysis // Pragmatics analysis // Fact verification, Fake news detection",Natural language analysis,Pragmatics analysis,Fake news detection,Fake news detection
"Analysis // Pragmatics analysis // Fact verification, Fake news detection",Natural language analysis,Pragmatics analysis,Fact verification,Fact verification
Analysis // Pragmatics analysis // Intent & humor detection,Natural language analysis,Pragmatics analysis,Intent detection,Intent detection
Analysis // Pragmatics analysis // Intent & humor detection,Natural language analysis,Pragmatics analysis,Humor detection,Humor detection
Analysis // Pragmatics analysis // Paraphrase identification,Natural language analysis,Pragmatics analysis,Paraphrase identification,Paraphrase identification
Analysis // Pragmatics analysis // Sentiment analysis,Natural language analysis,Pragmatics analysis,Sentiment analysis,Sentiment analysis
Analysis // Pragmatics analysis // Sentiment analysis,Natural language analysis,Pragmatics analysis,Sentiment analysis,Multimodal sentiment analysis
Analysis // Pragmatics analysis // Sentiment analysis,Natural language analysis,Pragmatics analysis,Sentiment analysis,Aspect term extraction and sentiment classification
Analysis // Pragmatics analysis // Sentiment analysis,Natural language analysis,Pragmatics analysis,Sentiment analysis,Aspect-based sentiment analysis
Analysis // Pragmatics analysis // Sentiment analysis,Natural language analysis,Pragmatics analysis,Sentiment analysis,Aspect extraction
Analysis // Pragmatics analysis // Sentiment analysis,Natural language analysis,Pragmatics analysis,Sentiment analysis,Aspect sentiment triplet extraction
Analysis // Pragmatics analysis // Sentiment analysis,Natural language analysis,Pragmatics analysis,Sentiment analysis,Aspect-oriented  opinion extraction
Analysis // Semantic analysis // Cross-lingual document classification & mining,Natural language analysis,Semantic analysis,Cross-lingual document classification,Cross-lingual document classification
Analysis // Semantic analysis // Cross-lingual document classification & mining,Natural language analysis,Semantic analysis,Cross-lingual bitext mining,Cross-lingual bitext mining
Analysis // Semantic analysis // Dialog act classification & state tracking,Natural language analysis,Semantic analysis,Dialog state tracking,Dialog state tracking
Analysis // Semantic analysis // Dialog act classification & state tracking,Natural language analysis,Semantic analysis,Dialog act classification,Dialog act classification
"Analysis // Semantic analysis // Entity typing, alignment & linking",Natural language analysis,Semantic analysis,Entity linking,Entity linking
"Analysis // Semantic analysis // Entity typing, alignment & linking",Natural language analysis,Semantic analysis,Entity typing,Entity typing
"Analysis // Semantic analysis // Entity typing, alignment & linking",Natural language analysis,Semantic analysis,Entity disambiguation,Entity disambiguation
"Analysis // Semantic analysis // Entity typing, alignment & linking",Natural language analysis,Semantic analysis,Entity alignment,Entity alignment
Analysis // Semantic analysis // Semantic parsing,Natural language analysis,Semantic analysis,Semantic parsing,Semantic parsing
Analysis // Semantic analysis // Semantic parsing,Natural language analysis,Semantic analysis,Semantic parsing,Semantic dependency parsing
Analysis // Semantic analysis // Semantic parsing,Natural language analysis,Semantic analysis,Semantic parsing,UCCA parsing
Analysis // Semantic analysis // Semantic parsing,Natural language analysis,Semantic analysis,Semantic parsing,AMR parsing
Analysis // Semantic analysis // Semantic parsing,Natural language analysis,Semantic analysis,Semantic parsing,DRS parsing
Analysis // Semantic analysis // Semantic role labeling,Natural language analysis,Semantic analysis,Semantic role labeling,Semantic role labeling
Analysis // Semantic analysis // Semantic textual similarity,Natural language analysis,Semantic analysis,Semantic textual similarity,Semantic textual similarity
Analysis // Semantic analysis // Semantic textual similarity,Natural language analysis,Semantic analysis,Semantic textual similarity,Paraphrase identification
Analysis // Semantic analysis // Text classification,Natural language analysis,Semantic analysis,Text classification,Text classification
Analysis // Semantic analysis // Text classification,Natural language analysis,Semantic analysis,Text classification,Sentence classification
Analysis // Semantic analysis // Text classification,Natural language analysis,Semantic analysis,Text classification,Rumor Detection
Analysis // Semantic analysis // Text classification,Natural language analysis,Semantic analysis,Text classification,Learning with noisy labels
Analysis // Semantic analysis // Text classification,Natural language analysis,Semantic analysis,Text classification,Emotion classification
Analysis // Semantic analysis // Text classification,Natural language analysis,Semantic analysis,Text classification,Document classification
Analysis // Semantic analysis // Text classification,Natural language analysis,Semantic analysis,Text classification,Coherence evaluation
Analysis // Semantic analysis // Text classification,Natural language analysis,Semantic analysis,Text classification,Citation intent classification
Analysis // Semantic analysis // Text classification,Natural language analysis,Semantic analysis,Text classification,Automated Essay Scoring
Analysis // Semantic analysis // Text classification,Natural language analysis,Semantic analysis,Text classification,Multi-label text classification
Analysis // Semantic analysis // Text clustering,Natural language analysis,Semantic analysis,Text clustering,Short text clustering
Analysis // Semantic analysis // Word sense disambiguation,Natural language analysis,Semantic analysis,Word sense disambiguation,Word sense disambiguation
Analysis // Semantic analysis // Word sense disambiguation,Natural language analysis,Semantic analysis,Word sense disambiguation,Word sense induction
Analysis // Sentence embedding,Natural language analysis,Sentence embedding,Sentence embeddings for biomedical texts,Sentence embeddings for biomedical texts
Analysis // Sentence embedding,Natural language analysis,Sentence embedding,Sentence compression,Sentence compression
Analysis // Syntactic analysis,Natural language analysis,Syntactic analysis,Dependency parsing,Dependency parsing
Analysis // Syntactic analysis,Natural language analysis,Syntactic analysis,Grammar checking,Grammatical error detection
