dataset_label,paper,paper_label
ModelNet40,https://identifiers.org/ito:ITO_15893,Learning a Probabilistic Latent Space of Object Shapes via 3D Generative-Adversarial Modeling
ModelNet40,https://identifiers.org/ito:ITO_62925,FoldingNet: Point Cloud Auto-encoder via Deep Grid Deformation
ModelNet40,https://identifiers.org/ito:ITO_62922,Self-Supervised Deep Learning on Point Clouds by Reconstructing Space
ModelNet40,https://identifiers.org/ito:ITO_62920,Self-supervised Learning of Point Clouds via Orientation Estimation
ModelNet40,https://identifiers.org/ito:ITO_57203,Spatio-temporal Self-Supervised Representation Learning for 3D Point Clouds
ModelNet40,https://identifiers.org/ito:ITO_61303,Implicit Autoencoder for Point Cloud Self-supervised Representation Learning
ADE20K,https://identifiers.org/ito:ITO_50505,Semantic-Aware Scene Recognition
YUP++,https://identifiers.org/ito:ITO_06572,Hallucinating IDT Descriptors and I3D Optical Flow Features for Action Recognition with CNNs
YUP++,https://identifiers.org/ito:ITO_47882,Self-supervising Action Recognition by Statistical Moment and Subspace Descriptors
MIT Indoor Scenes,https://identifiers.org/ito:ITO_50511,FOSNet: An End-to-End Trainable Deep Neural Network for Scene Recognition
Places365,https://identifiers.org/ito:ITO_50511,FOSNet: An End-to-End Trainable Deep Neural Network for Scene Recognition
ScanNet,https://identifiers.org/ito:ITO_08981,Self-Supervised Model Adaptation for Multimodal Semantic Segmentation
SUN397,https://identifiers.org/ito:ITO_50511,FOSNet: An End-to-End Trainable Deep Neural Network for Scene Recognition
SUN-RGBD,https://identifiers.org/ito:ITO_50518,When CNNs Meet Random RNNs: Towards Multi-Level Analysis for RGB-D Object and Scene Recognition
SUN-RGBD,https://identifiers.org/ito:ITO_47918,Omnivore: A Single Model for Many Visual Modalities
3R-Scan,https://identifiers.org/ito:ITO_27671,SceneGraphFusion: Incremental 3D Scene Graph Prediction from RGB-D Sequences
ModelNet40,https://identifiers.org/ito:ITO_15876,Dynamic Edge-Conditioned Filters in Convolutional Neural Networks on Graphs
ModelNet40,https://identifiers.org/ito:ITO_38713,O-CNN: Octree-based Convolutional Neural Networks for 3D Shape Analysis
ModelNet40,https://identifiers.org/ito:ITO_59588,General-Purpose Deep Point Cloud Feature Extractor
ModelNet10,https://identifiers.org/ito:ITO_15874,Orientation-boosted Voxel Nets for 3D Object Recognition
ModelNet10,https://identifiers.org/ito:ITO_59591,PolyNet: Polynomial Neural Network for 3D Shape Recognition with PolyShape Representation
Dayton (256×256) - ground-to-aerial,https://identifiers.org/ito:ITO_03934,Image-to-Image Translation with Conditional Adversarial Networks
Dayton (256×256) - ground-to-aerial,https://identifiers.org/ito:ITO_04126,Cross-View Image Synthesis using Conditional GANs
Dayton (256×256) - ground-to-aerial,https://identifiers.org/ito:ITO_04135,Cross-view image synthesis using geometry-guided conditional GANs
Dayton (256×256) - ground-to-aerial,https://identifiers.org/ito:ITO_04122,Multi-Channel Attention Selection GAN with Cascaded Semantic Guidance for Cross-View Image Translation
Dayton (256×256) - aerial-to-ground,https://identifiers.org/ito:ITO_04124,Local Class-Specific and Global Image-Level Generative Adversarial Networks for Semantic-Guided Scene Generation
Dayton (256×256) - aerial-to-ground,https://identifiers.org/ito:ITO_03934,Image-to-Image Translation with Conditional Adversarial Networks
Dayton (256×256) - aerial-to-ground,https://identifiers.org/ito:ITO_04126,Cross-View Image Synthesis using Conditional GANs
Dayton (256×256) - aerial-to-ground,https://identifiers.org/ito:ITO_04122,Multi-Channel Attention Selection GAN with Cascaded Semantic Guidance for Cross-View Image Translation
Dayton (256×256) - aerial-to-ground,https://identifiers.org/ito:ITO_20233,Unified Generative Adversarial Networks for Controllable Image-to-Image Translation
Cam2BEV,https://identifiers.org/ito:ITO_20243,A Sim2Real Deep Learning Approach for the Transformation of Images from Multiple Vehicle-Mounted Cameras to a Semantically Segmented Image in Bird's Eye View
Dayton (64x64) - ground-to-aerial,https://identifiers.org/ito:ITO_03934,Image-to-Image Translation with Conditional Adversarial Networks
Dayton (64x64) - ground-to-aerial,https://identifiers.org/ito:ITO_04126,Cross-View Image Synthesis using Conditional GANs
Dayton (64x64) - ground-to-aerial,https://identifiers.org/ito:ITO_04122,Multi-Channel Attention Selection GAN with Cascaded Semantic Guidance for Cross-View Image Translation
