paper,date
https://ai-strategies.org/ontology/ITO_10000,2000-09-24
https://ai-strategies.org/ontology/ITO_16777,2003-07-18
https://ai-strategies.org/ontology/ITO_12116,2005-01-01
https://ai-strategies.org/ontology/ITO_15836,2006-05-12
https://ai-strategies.org/ontology/ITO_15832,2008-02-01
https://ai-strategies.org/ontology/ITO_16783,2009-04-16
https://ai-strategies.org/ontology/ITO_04888,2010-03-01
https://ai-strategies.org/ontology/ITO_05076,2010-11-30
https://ai-strategies.org/ontology/ITO_15834,2011-08-15
https://ai-strategies.org/ontology/ITO_03882,2012-02-13
https://ai-strategies.org/ontology/ITO_12933,2012-03-05
https://ai-strategies.org/ontology/ITO_11748,2012-06-01
https://ai-strategies.org/ontology/ITO_15292,2012-07-03
https://ai-strategies.org/ontology/ITO_06845,2012-07-16
https://ai-strategies.org/ontology/ITO_13482,2012-07-19
https://ai-strategies.org/ontology/ITO_12896,2012-08-25
https://ai-strategies.org/ontology/ITO_06628,2012-10-04
https://ai-strategies.org/ontology/ITO_02458,2012-11-01
https://ai-strategies.org/ontology/ITO_04283,2012-12-01
https://ai-strategies.org/ontology/ITO_15283,2012-12-01
https://ai-strategies.org/ontology/ITO_15302,2012-12-01
https://ai-strategies.org/ontology/ITO_07194,2012-12-03
https://ai-strategies.org/ontology/ITO_10114,2013-01-16
https://ai-strategies.org/ontology/ITO_15290,2013-01-16
https://ai-strategies.org/ontology/ITO_06626,2013-02-01
https://ai-strategies.org/ontology/ITO_15137,2013-02-18
https://ai-strategies.org/ontology/ITO_04462,2013-03-22
https://ai-strategies.org/ontology/ITO_11025,2013-03-25
https://ai-strategies.org/ontology/ITO_07581,2013-06-01
https://ai-strategies.org/ontology/ITO_14806,2013-06-01
https://ai-strategies.org/ontology/ITO_08934,2013-06-01
https://ai-strategies.org/ontology/ITO_15100,2013-06-13
https://ai-strategies.org/ontology/ITO_03532,2013-07-01
https://ai-strategies.org/ontology/ITO_11655,2013-10-01
https://ai-strategies.org/ontology/ITO_11093,2013-10-01
https://ai-strategies.org/ontology/ITO_15086,2013-11-12
https://ai-strategies.org/ontology/ITO_02749,2013-12-01
https://ai-strategies.org/ontology/ITO_15399,2013-12-01
https://ai-strategies.org/ontology/ITO_15417,2013-12-01
https://ai-strategies.org/ontology/ITO_09875,2013-12-11
https://ai-strategies.org/ontology/ITO_05049,2013-12-12
https://ai-strategies.org/ontology/ITO_15139,2013-12-16
https://ai-strategies.org/ontology/ITO_07569,2013-12-19
https://ai-strategies.org/ontology/ITO_13473,2013-12-19
https://ai-strategies.org/ontology/ITO_15083,2013-12-19
https://ai-strategies.org/ontology/ITO_15358,2013-12-20
https://ai-strategies.org/ontology/ITO_12854,2013-12-20
https://ai-strategies.org/ontology/ITO_12909,2013-12-20
https://ai-strategies.org/ontology/ITO_15281,2013-12-20
https://ai-strategies.org/ontology/ITO_14177,2013-12-21
https://ai-strategies.org/ontology/ITO_17220,2014-01-31
https://ai-strategies.org/ontology/ITO_09996,2014-02-17
https://ai-strategies.org/ontology/ITO_15423,2014-02-24
https://ai-strategies.org/ontology/ITO_09204,2014-03-03
https://ai-strategies.org/ontology/ITO_14575,2014-03-05
https://ai-strategies.org/ontology/ITO_14767,2014-03-26
https://ai-strategies.org/ontology/ITO_09597,2014-04-08
https://ai-strategies.org/ontology/ITO_15154,2014-04-14
https://ai-strategies.org/ontology/ITO_03307,2014-04-15
https://ai-strategies.org/ontology/ITO_07866,2014-04-16
https://ai-strategies.org/ontology/ITO_12852,2014-04-17
https://ai-strategies.org/ontology/ITO_08304,2014-05-16
https://ai-strategies.org/ontology/ITO_06528,2014-05-18
https://ai-strategies.org/ontology/ITO_03410,2014-06-01
https://ai-strategies.org/ontology/ITO_04722,2014-06-01
https://ai-strategies.org/ontology/ITO_04181,2014-06-01
https://ai-strategies.org/ontology/ITO_11649,2014-06-01
https://ai-strategies.org/ontology/ITO_14184,2014-06-01
https://ai-strategies.org/ontology/ITO_05436,2014-06-03
https://ai-strategies.org/ontology/ITO_02499,2014-06-09
https://ai-strategies.org/ontology/ITO_05030,2014-06-09
https://ai-strategies.org/ontology/ITO_06526,2014-06-09
https://ai-strategies.org/ontology/ITO_15121,2014-06-12
https://ai-strategies.org/ontology/ITO_07864,2014-06-14
https://ai-strategies.org/ontology/ITO_06157,2014-06-17
https://ai-strategies.org/ontology/ITO_03302,2014-06-18
https://ai-strategies.org/ontology/ITO_14016,2014-06-18
https://ai-strategies.org/ontology/ITO_15366,2014-06-20
https://ai-strategies.org/ontology/ITO_06677,2014-06-23
https://ai-strategies.org/ontology/ITO_07147,2014-06-23
https://ai-strategies.org/ontology/ITO_15419,2014-06-23
https://ai-strategies.org/ontology/ITO_06979,2014-06-27
https://ai-strategies.org/ontology/ITO_04373,2014-06-30
https://ai-strategies.org/ontology/ITO_12135,2014-06-30
https://ai-strategies.org/ontology/ITO_10447,2014-07-07
https://ai-strategies.org/ontology/ITO_11323,2014-07-12
https://ai-strategies.org/ontology/ITO_03186,2014-07-15
https://ai-strategies.org/ontology/ITO_15652,2014-07-15
https://ai-strategies.org/ontology/ITO_12187,2014-08-01
https://ai-strategies.org/ontology/ITO_03200,2014-08-06
https://ai-strategies.org/ontology/ITO_13813,2014-08-07
https://ai-strategies.org/ontology/ITO_03640,2014-08-18
https://ai-strategies.org/ontology/ITO_03665,2014-08-24
https://ai-strategies.org/ontology/ITO_06827,2014-08-24
https://ai-strategies.org/ontology/ITO_09582,2014-08-25
https://ai-strategies.org/ontology/ITO_04886,2014-09-01
https://ai-strategies.org/ontology/ITO_05251,2014-09-01
https://ai-strategies.org/ontology/ITO_03236,2014-09-04
https://ai-strategies.org/ontology/ITO_05438,2014-09-08
https://ai-strategies.org/ontology/ITO_05432,2014-09-10
https://ai-strategies.org/ontology/ITO_11945,2014-09-12
https://ai-strategies.org/ontology/ITO_14175,2014-09-17
https://ai-strategies.org/ontology/ITO_15119,2014-09-18
https://ai-strategies.org/ontology/ITO_15259,2014-09-22
https://ai-strategies.org/ontology/ITO_12122,2014-09-24
https://ai-strategies.org/ontology/ITO_04066,2014-09-26
https://ai-strategies.org/ontology/ITO_07573,2014-09-30
https://ai-strategies.org/ontology/ITO_04794,2014-10-01
https://ai-strategies.org/ontology/ITO_15396,2014-10-03
https://ai-strategies.org/ontology/ITO_14742,2014-10-09
https://ai-strategies.org/ontology/ITO_05769,2014-10-30
https://ai-strategies.org/ontology/ITO_05430,2014-10-30
https://ai-strategies.org/ontology/ITO_11333,2014-11-04
https://ai-strategies.org/ontology/ITO_10174,2014-11-14
https://ai-strategies.org/ontology/ITO_11303,2014-11-16
https://ai-strategies.org/ontology/ITO_08936,2014-11-17
https://ai-strategies.org/ontology/ITO_02498,2014-11-18
https://ai-strategies.org/ontology/ITO_11110,2014-11-19
https://ai-strategies.org/ontology/ITO_06880,2014-11-21
https://ai-strategies.org/ontology/ITO_11332,2014-11-22
https://ai-strategies.org/ontology/ITO_03816,2014-11-29
https://ai-strategies.org/ontology/ITO_03820,2014-12-01
https://ai-strategies.org/ontology/ITO_05804,2014-12-01
https://ai-strategies.org/ontology/ITO_15278,2014-12-01
https://ai-strategies.org/ontology/ITO_15297,2014-12-01
https://ai-strategies.org/ontology/ITO_11582,2014-12-01
https://ai-strategies.org/ontology/ITO_07149,2014-12-02
https://ai-strategies.org/ontology/ITO_03230,2014-12-03
https://ai-strategies.org/ontology/ITO_09877,2014-12-03
https://ai-strategies.org/ontology/ITO_10571,2014-12-03
https://ai-strategies.org/ontology/ITO_08301,2014-12-04
https://ai-strategies.org/ontology/ITO_12409,2014-12-04
https://ai-strategies.org/ontology/ITO_12821,2014-12-07
https://ai-strategies.org/ontology/ITO_10110,2014-12-09
https://ai-strategies.org/ontology/ITO_04254,2014-12-10
https://ai-strategies.org/ontology/ITO_04366,2014-12-17
https://ai-strategies.org/ontology/ITO_15109,2014-12-18
https://ai-strategies.org/ontology/ITO_07346,2014-12-19
https://ai-strategies.org/ontology/ITO_12850,2014-12-19
https://ai-strategies.org/ontology/ITO_02675,2014-12-20
https://ai-strategies.org/ontology/ITO_15166,2014-12-20
https://ai-strategies.org/ontology/ITO_15288,2014-12-20
https://ai-strategies.org/ontology/ITO_15236,2014-12-21
https://ai-strategies.org/ontology/ITO_15267,2014-12-21
https://ai-strategies.org/ontology/ITO_10306,2014-12-22
https://ai-strategies.org/ontology/ITO_15160,2014-12-22
https://ai-strategies.org/ontology/ITO_13200,2014-12-23
https://ai-strategies.org/ontology/ITO_15123,2014-12-23
https://ai-strategies.org/ontology/ITO_02836,2014-12-31
https://ai-strategies.org/ontology/ITO_03814,2015-01-23
https://ai-strategies.org/ontology/ITO_03818,2015-01-23
https://ai-strategies.org/ontology/ITO_03298,2015-02-03
https://ai-strategies.org/ontology/ITO_15125,2015-02-03
https://ai-strategies.org/ontology/ITO_15047,2015-02-06
https://ai-strategies.org/ontology/ITO_04174,2015-02-10
https://ai-strategies.org/ontology/ITO_10310,2015-02-11
https://ai-strategies.org/ontology/ITO_15065,2015-02-11
https://ai-strategies.org/ontology/ITO_05771,2015-02-16
https://ai-strategies.org/ontology/ITO_15261,2015-02-19
https://ai-strategies.org/ontology/ITO_12981,2015-02-25
https://ai-strategies.org/ontology/ITO_09585,2015-02-28
https://ai-strategies.org/ontology/ITO_10444,2015-03-05
https://ai-strategies.org/ontology/ITO_08548,2015-03-11
https://ai-strategies.org/ontology/ITO_03228,2015-03-12
https://ai-strategies.org/ontology/ITO_16837,2015-03-12
https://ai-strategies.org/ontology/ITO_15127,2015-03-16
https://ai-strategies.org/ontology/ITO_07142,2015-03-31
https://ai-strategies.org/ontology/ITO_08164,2015-03-31
https://ai-strategies.org/ontology/ITO_15680,2015-04-03
https://ai-strategies.org/ontology/ITO_10274,2015-04-04
https://ai-strategies.org/ontology/ITO_14671,2015-04-05
https://ai-strategies.org/ontology/ITO_14687,2015-04-06
https://ai-strategies.org/ontology/ITO_04426,2015-04-07
https://ai-strategies.org/ontology/ITO_03876,2015-04-07
https://ai-strategies.org/ontology/ITO_06473,2015-04-09
https://ai-strategies.org/ontology/ITO_12407,2015-04-14
https://ai-strategies.org/ontology/ITO_12607,2015-04-20
https://ai-strategies.org/ontology/ITO_13931,2015-04-23
https://ai-strategies.org/ontology/ITO_05047,2015-04-30
https://ai-strategies.org/ontology/ITO_14043,2015-04-30
https://ai-strategies.org/ontology/ITO_09208,2015-05-01
https://ai-strategies.org/ontology/ITO_09444,2015-05-01
https://ai-strategies.org/ontology/ITO_08798,2015-05-03
https://ai-strategies.org/ontology/ITO_15141,2015-05-03
https://ai-strategies.org/ontology/ITO_12723,2015-05-05
https://ai-strategies.org/ontology/ITO_15286,2015-05-05
https://ai-strategies.org/ontology/ITO_03115,2015-05-08
https://ai-strategies.org/ontology/ITO_05547,2015-05-13
https://ai-strategies.org/ontology/ITO_15102,2015-05-13
https://ai-strategies.org/ontology/ITO_03565,2015-05-15
https://ai-strategies.org/ontology/ITO_12425,2015-05-17
https://ai-strategies.org/ontology/ITO_05496,2015-05-18
https://ai-strategies.org/ontology/ITO_13746,2015-05-18
https://ai-strategies.org/ontology/ITO_07344,2015-05-19
https://ai-strategies.org/ontology/ITO_13933,2015-05-19
https://ai-strategies.org/ontology/ITO_04356,2015-05-21
https://ai-strategies.org/ontology/ITO_04099,2015-05-28
