performance_measure_label,performance_measure,benchmark_process_individual_in_subproperty_count
Accuracy,https://identifiers.org/ito#ITO_01157,12061
Score,https://identifiers.org/ito#ITO_08816,3752
Precision,https://identifiers.org/ito#ITO_04547,3526
F-measure,https://identifiers.org/ito#ITO_01609,2115
Peak signal-to-noise ratio,https://identifiers.org/ito#ITO_00016,944
Intersection over Union,https://identifiers.org/ito#ITO_00024,921
Structural similarity index,https://identifiers.org/ito#ITO_00045,685
Hits-at-k,https://identifiers.org/ito#ITO_00002,553
Exact match,https://identifiers.org/ito#ITO_01569,465
R-at-K,https://identifiers.org/ito#ITO_00082,427
BLEU score,https://identifiers.org/ito#ITO_00008,401
Resource requirements,https://identifiers.org/ito#ITO_01572,360
"Area under curve (AUC), unspecified",https://identifiers.org/ito#ITO_00006,334
Recall,https://identifiers.org/ito#ITO_00011,320
Frechet Inception Distance,https://identifiers.org/ito#ITO_01570,297
Percentage of correct keypoints,https://identifiers.org/ito#ITO_00015,291
Percentage error,https://identifiers.org/ito#ITO_04342,278
Undetermined,https://identifiers.org/ito#ITO_00089,271
ROUGE metric,https://identifiers.org/ito#ITO_00004,269
Mean absolute error,https://identifiers.org/ito#ITO_00013,253
Mean reciprocal rank,https://identifiers.org/ito#ITO_00044,199
Perplexity,https://identifiers.org/ito#ITO_09019,184
Mean-Per-Joint-Position-Error,https://identifiers.org/ito#ITO_00054,161
Error rate,https://identifiers.org/ito#ITO_03401,152
Inception Score,https://identifiers.org/ito#ITO_00075,143
Root mean square deviation,https://identifiers.org/ito#ITO_00009,138
Normalized mutual information,https://identifiers.org/ito#ITO_01546,125
Normalized mean error,https://identifiers.org/ito#ITO_01555,115
Average 3D Error,https://identifiers.org/ito#ITO_03645,114
P-at-K,https://identifiers.org/ito#ITO_00081,113
Normalized Discounted Cumulative Gain,https://identifiers.org/ito#ITO_00022,113
Error,https://identifiers.org/ito#ITO_10601,98
Panoptic quality,https://identifiers.org/ito#ITO_00087,96
True accept rate,https://identifiers.org/ito#ITO_00084,94
Frames per second,https://identifiers.org/ito#ITO_00043,83
Mean squared error,https://identifiers.org/ito#ITO_00010,81
Bit per character,https://identifiers.org/ito#ITO_00036,73
ROC AUC,https://identifiers.org/ito#ITO_00005,66
Expected average overlap,https://identifiers.org/ito#ITO_01571,66
Mean rank,https://identifiers.org/ito#ITO_01585,61
Word Error Rate,https://identifiers.org/ito#ITO_00066,56
Time,https://identifiers.org/ito#ITO_00007,54
Negative log-likelihood,https://identifiers.org/ito#ITO_01549,52
Mean Opinion Score,https://identifiers.org/ito#ITO_16498,48
Average End-point Error,https://identifiers.org/ito#ITO_00023,44
3D percentage of correct keypoints,https://identifiers.org/ito#ITO_00032,42
Miss rate,https://identifiers.org/ito#ITO_01584,42
METEOR,https://identifiers.org/ito#ITO_08346,39
Logarithmic loss,https://identifiers.org/ito#ITO_00080,38
Reasonable Miss Rate,https://identifiers.org/ito#ITO_03778,36
Mean Error Rate,https://identifiers.org/ito#ITO_03394,33
Average 3D distance of model points,https://identifiers.org/ito#ITO_00071,32
Pearson Correlation,https://identifiers.org/ito#ITO_03765,31
Medium Human-Normalized Score,https://identifiers.org/ito#ITO_12544,29
Relative root mean square deviation,https://identifiers.org/ito#ITO_01598,28
Absolute relative error,https://identifiers.org/ito#ITO_00079,26
Signal-to-distortion ratio,https://identifiers.org/ito#ITO_00064,25
Kernel Inception Distance,https://identifiers.org/ito#ITO_03917,24
Floating Point Operations Per Second,https://identifiers.org/ito#ITO_00040,23
Consensus-based Image Description Evaluation,https://identifiers.org/ito#ITO_00047,23
Learned perceptual similarity metric,https://identifiers.org/ito#ITO_00061,22
Mean Reconstruction Error (mm),https://identifiers.org/ito#ITO_04870,20
PR AUC,https://identifiers.org/ito#ITO_01542,18
Mean 3D joint position error,https://identifiers.org/ito#ITO_00067,18
Log-Spectral Distance,https://identifiers.org/ito#ITO_03075,18
Diversity,https://identifiers.org/ito#ITO_04109,18
NIST,https://identifiers.org/ito#ITO_09084,18
User rating,https://identifiers.org/ito#ITO_01577,17
Mean per joint position error after Procrustes Alignment,https://identifiers.org/ito#ITO_01547,16
Genuine Acceptance Rate,https://identifiers.org/ito#ITO_00019,16
Image quality,https://identifiers.org/ito#ITO_01579,16
Hit Ratio-at-K,https://identifiers.org/ito#ITO_01568,16
Color peak signal-to-noise ratio,https://identifiers.org/ito#ITO_00042,15
Unlabeled attachment score,https://identifiers.org/ito#ITO_00058,15
Spearman Correlation,https://identifiers.org/ito#ITO_09916,15
Labeled attachment score,https://identifiers.org/ito#ITO_00055,14
Classification Error,https://identifiers.org/ito#ITO_04043,14
Log-likelihood,https://identifiers.org/ito#ITO_16285,14
Kullback–Leibler divergence,https://identifiers.org/ito#ITO_00052,13
Bits per dimension,https://identifiers.org/ito#ITO_00098,13
L2,https://identifiers.org/ito#ITO_15899,13
Average Distance Error,https://identifiers.org/ito#ITO_00034,12
Bits per byte,https://identifiers.org/ito#ITO_05885,11
MOVIE index,https://identifiers.org/ito#ITO_01589,10
Angular Error,https://identifiers.org/ito#ITO_13289,10
Average Treatment Effect Error,https://identifiers.org/ito#ITO_15752,10
Scale-invariant signal-to-distortion ratio,https://identifiers.org/ito#ITO_00065,9
Failure rate,https://identifiers.org/ito#ITO_01592,9
NAB score,https://identifiers.org/ito#ITO_07449,9
L1,https://identifiers.org/ito#ITO_17245,9
Compression rate,https://identifiers.org/ito#ITO_01588,9
Success rate weighted by path length,https://identifiers.org/ito#ITO_01578,9
Feature Similarity Index,https://identifiers.org/ito#ITO_00050,8
Intensive Care After Thrombolysis Score,https://identifiers.org/ito#ITO_00069,8
Hausdorff distance,https://identifiers.org/ito#ITO_00041,8
nuScenes detection score,https://identifiers.org/ito#ITO_00049,8
Modularity,https://identifiers.org/ito#ITO_12676,8
Part-of-speech,https://identifiers.org/ito#ITO_01561,8
Negative evidence lower bound,https://identifiers.org/ito#ITO_01557,8
LMD,https://identifiers.org/ito#ITO_03488,7
FPR-at-K,https://identifiers.org/ito#ITO_01562,7
Variation of information,https://identifiers.org/ito#ITO_00086,6
Mean performance under corruption,https://identifiers.org/ito#ITO_00088,6
Damerau–Levenshtein distance,https://identifiers.org/ito#ITO_00060,6
Adjusted Rand Index,https://identifiers.org/ito#ITO_00026,6
Relative Performance under Corruption,https://identifiers.org/ito#ITO_00094,6
Interpolation Error,https://identifiers.org/ito#ITO_07233,6
Median relative target registration error,https://identifiers.org/ito#ITO_00029,6
Maximum mean discrepancy,https://identifiers.org/ito#ITO_00062,5
Path Length,https://identifiers.org/ito#ITO_05090,5
Step Change (10^−3),https://identifiers.org/ito#ITO_05092,5
Path Difference,https://identifiers.org/ito#ITO_05093,5
Player Distance,https://identifiers.org/ito#ITO_05094,5
Model Entropy,https://identifiers.org/ito#ITO_05708,5
