,ds_count,task,ds,date,model_label,value,percent_of_max_sota,gain,ratio,max_sota,percent_of_max_metric,merge
0,1,Sentiment Analysis,1B Words,2012-06,BilSTM,93.0,100.0,93,1.0,93,1.0,1\\ in\\ 10\\ R\\-at\\-1
0,1,Citation Intent Classification,ACL-ARC,2013-06,SVM,41.0,60.38,41.0,0.6,67.9,0.42,F1
1,1,Citation Intent Classification,ACL-ARC,2016-06,BiLSTM-Attention,51.8,76.29,10.8,0.16,67.9,0.53,F1
2,1,Citation Intent Classification,ACL-ARC,2018-01,Feature-rich Random Forest,53.0,78.06,1.2,0.02,67.9,0.54,F1
3,1,Citation Intent Classification,ACL-ARC,2018-02,BiLSTM-Attention + ELMo,54.6,80.41,1.6,0.02,67.9,0.55,F1
4,1,Citation Intent Classification,ACL-ARC,2019-03,SciBERT,65.8,96.91,11.2,0.16,67.9,0.67,F1
5,1,Citation Intent Classification,ACL-ARC,2019-04,Structural-scaffolds,67.9,100.0,2.1,0.03,67.9,0.69,F1
6,1,Semantic Textual Similarity,MRPC,2013-10,TF-KLD,85.9,92.86,85.9,0.93,92.5,0.87,F1
7,1,Semantic Textual Similarity,MRPC,2019-10,T5-Large,92.4,99.89,6.5,0.07,92.5,0.94,F1
8,1,Semantic Textual Similarity,MRPC,2019-10,T5-3B,92.5,100.0,0.1,0.0,92.5,0.94,F1
9,1,Question Answering,WebQuestions,2014-04,Weakly Supervised Embeddings,29.7,70.38,29.7,0.7,42.2,0.3,F1
10,1,Question Answering,WebQuestions,2014-06,Subgraph embeddings,39.2,92.89,9.5,0.23,42.2,0.4,F1
11,1,Question Answering,WebQuestions,2015-06,Memory Networks (ensemble),42.2,100.0,3.0,0.07,42.2,0.43,F1
12,1,Named Entity Recognition,SciERC,2014-09,SciBERT (Base Vocab),65.12,92.59,65.12,0.93,70.33,0.66,F1
13,1,Named Entity Recognition,SciERC,2019-03,SciBERT (SciVocab),65.5,93.13,0.4,0.01,70.33,0.67,F1
14,1,Named Entity Recognition,SciERC,2019-09,SpERT,70.33,100.0,4.8,0.07,70.33,0.71,F1
15,1,Word Sense Disambiguation,SensEval 3 Lexical Sample,2015-05,IMS + adapted CW,73.4,91.61,73.4,0.92,80.12,0.75,F1
16,1,Word Sense Disambiguation,SensEval 3 Lexical Sample,2019-09,kNN-BERT,80.12,100.0,6.7,0.08,80.12,0.81,F1
17,1,Word Sense Disambiguation,SensEval 2 Lexical Sample,2015-05,IMS + adapted CW,66.2,86.51,66.2,0.87,76.52,0.67,F1
18,1,Word Sense Disambiguation,SensEval 2 Lexical Sample,2016-06,BiLSTM with GloVe,66.9,87.43,0.7,0.01,76.52,0.68,F1
19,1,Word Sense Disambiguation,SensEval 2 Lexical Sample,2019-09,kNN-BERT,76.52,100.0,9.6,0.13,76.52,0.78,F1
20,1,Question Answering,SimpleQuestions,2015-06,Memory Networks (ensemble),63.9,100.0,63.9,1.0,63.9,0.65,F1
21,1,Chinese Word Segmentation,MSRA,2015-09,Pre-trained+bigram+ LSTM+CRF,97.4,100.0,97.4,1.0,97.4,0.99,F1
22,1,Sentence Compression,Google Dataset,2015-09,LSTM,0.82,96.36,0.82,0.96,0.851,0.01,F1
23,1,Sentence Compression,Google Dataset,2018-07,BiRNN + LM Evaluator,0.851,100.0,0.0,0.0,0.851,0.01,F1
24,1,Word Sense Disambiguation,SemEval 2007 Task 7,2016-03,"LSTMLP (T:SemCor, U:OMSTI)",84.3,93.25,84.3,0.93,90.4,0.86,F1
25,1,Word Sense Disambiguation,SemEval 2007 Task 7,2018-11,"SemCor+WNGT, vocabulary reduced, ensemble",86.02,95.15,1.7,0.02,90.4,0.87,F1
26,1,Word Sense Disambiguation,SemEval 2007 Task 7,2019-05,"SemCor+WNGC, hypernyms",90.4,100.0,4.4,0.05,90.4,0.92,F1
27,1,Word Sense Disambiguation,SensEval 3 Task 1,2016-03,LSTM (T:SemCor),69.2,88.95,69.2,0.89,77.8,0.7,F1
28,1,Word Sense Disambiguation,SensEval 3 Task 1,2016-03,"LSTMLP (T:SemCor, U:1K)",71.8,92.29,2.6,0.03,77.8,0.73,F1
29,1,Word Sense Disambiguation,SensEval 3 Task 1,2019-05,"SemCor+WNGC, hypernyms",77.8,100.0,6.0,0.08,77.8,0.79,F1
30,1,Word Sense Disambiguation,SemEval 2013 Task 12,2016-03,LSTM (T:SemCor),67.0,85.13,67.0,0.85,78.7,0.68,F1
31,1,Word Sense Disambiguation,SemEval 2013 Task 12,2016-03,"LSTMLP (T:SemCor, U:1K)",69.5,88.31,2.5,0.03,78.7,0.71,F1
32,1,Word Sense Disambiguation,SemEval 2013 Task 12,2018-11,"SemCor+WNGT, vocabulary reduced, ensemble",72.63,92.29,3.1,0.04,78.7,0.74,F1
33,1,Word Sense Disambiguation,SemEval 2013 Task 12,2019-05,"SemCor+WNGC, hypernyms",78.7,100.0,6.1,0.08,78.7,0.8,F1
34,1,Word Sense Disambiguation,SemEval 2007 Task 17,2016-03,LSTM (T:SemCor),64.2,87.47,64.2,0.87,73.4,0.65,F1
35,1,Word Sense Disambiguation,SemEval 2007 Task 17,2018-11,"SemCor+WNGT, vocabulary reduced, ensemble",66.81,91.02,2.6,0.04,73.4,0.68,F1
36,1,Word Sense Disambiguation,SemEval 2007 Task 17,2019-05,"SemCor+WNGC, hypernyms",73.4,100.0,6.6,0.09,73.4,0.75,F1
37,1,Word Sense Disambiguation,SensEval 2,2016-03,"LSTMLP (T:OMSTI, U:1K)",74.4,93.35,74.4,0.93,79.7,0.76,F1
38,1,Word Sense Disambiguation,SensEval 2,2018-11,"SemCor+WNGT, vocabulary reduced, ensemble",75.15,94.29,0.8,0.01,79.7,0.76,F1
