,top_level_class,top_level_class_label,task_label,year,level_4,result
0,https://identifiers.org/ito:ITO_00101,Vision process,2D Object Detection,2018,0,1
1,https://identifiers.org/ito:ITO_00101,Vision process,2D Object Detection,2019,3,1
2,https://identifiers.org/ito:ITO_00101,Vision process,2D Object Detection,2020,0,1
3,https://identifiers.org/ito:ITO_00101,Vision process,2D Object Detection,2021,3,1
4,https://identifiers.org/ito:ITO_00101,Vision process,3D Absolute Human Pose Estimation,2019,0,1
5,https://identifiers.org/ito:ITO_00101,Vision process,3D Absolute Human Pose Estimation,2020,0,1
6,https://identifiers.org/ito:ITO_00101,Vision process,3D Absolute Human Pose Estimation,2020,1,1
7,https://identifiers.org/ito:ITO_00101,Vision process,3D Absolute Human Pose Estimation,2021,3,2
8,https://identifiers.org/ito:ITO_00101,Vision process,3D Action Recognition,2020,0,1
9,https://identifiers.org/ito:ITO_00101,Vision process,3D Action Recognition,2021,3,1
10,https://identifiers.org/ito:ITO_00101,Vision process,3D FACE MODELING,2014,0,1
11,https://identifiers.org/ito:ITO_00101,Vision process,3D FACE MODELING,2015,3,1
12,https://identifiers.org/ito:ITO_00101,Vision process,3D Face Animation,2018,0,1
13,https://identifiers.org/ito:ITO_00101,Vision process,3D Face Animation,2019,3,1
14,https://identifiers.org/ito:ITO_00101,Vision process,3D Face Reconstruction,2015,0,2
15,https://identifiers.org/ito:ITO_00101,Vision process,3D Face Reconstruction,2016,0,2
16,https://identifiers.org/ito:ITO_00101,Vision process,3D Face Reconstruction,2017,1,3
17,https://identifiers.org/ito:ITO_00101,Vision process,3D Face Reconstruction,2017,2,1
18,https://identifiers.org/ito:ITO_00101,Vision process,3D Face Reconstruction,2018,1,3
19,https://identifiers.org/ito:ITO_00101,Vision process,3D Face Reconstruction,2018,0,2
20,https://identifiers.org/ito:ITO_00101,Vision process,3D Face Reconstruction,2018,2,1
21,https://identifiers.org/ito:ITO_00101,Vision process,3D Face Reconstruction,2019,1,3
22,https://identifiers.org/ito:ITO_00101,Vision process,3D Face Reconstruction,2019,2,1
23,https://identifiers.org/ito:ITO_00101,Vision process,3D Face Reconstruction,2020,1,5
24,https://identifiers.org/ito:ITO_00101,Vision process,3D Face Reconstruction,2020,3,1
25,https://identifiers.org/ito:ITO_00101,Vision process,3D Face Reconstruction,2021,3,5
26,https://identifiers.org/ito:ITO_00101,Vision process,3D Face Reconstruction,2021,0,1
27,https://identifiers.org/ito:ITO_00101,Vision process,3D Facial Expression Recognition,2018,0,1
28,https://identifiers.org/ito:ITO_00101,Vision process,3D Facial Expression Recognition,2019,3,1
29,https://identifiers.org/ito:ITO_00101,Vision process,3D Facial Landmark Localization,2018,0,2
30,https://identifiers.org/ito:ITO_00101,Vision process,3D Facial Landmark Localization,2019,3,2
31,https://identifiers.org/ito:ITO_00101,Vision process,3D Feature Matching,2019,0,1
32,https://identifiers.org/ito:ITO_00101,Vision process,3D Feature Matching,2020,3,1
33,https://identifiers.org/ito:ITO_00101,Vision process,3D Hand Pose Estimation,2020,0,2
34,https://identifiers.org/ito:ITO_00101,Vision process,3D Hand Pose Estimation,2021,3,2
35,https://identifiers.org/ito:ITO_00101,Vision process,3D Human Pose Estimation,2010,0,1
36,https://identifiers.org/ito:ITO_00101,Vision process,3D Human Pose Estimation,2013,0,1
37,https://identifiers.org/ito:ITO_00101,Vision process,3D Human Pose Estimation,2014,1,2
38,https://identifiers.org/ito:ITO_00101,Vision process,3D Human Pose Estimation,2015,1,1
39,https://identifiers.org/ito:ITO_00101,Vision process,3D Human Pose Estimation,2015,2,1
40,https://identifiers.org/ito:ITO_00101,Vision process,3D Human Pose Estimation,2016,0,1
41,https://identifiers.org/ito:ITO_00101,Vision process,3D Human Pose Estimation,2016,1,1
42,https://identifiers.org/ito:ITO_00101,Vision process,3D Human Pose Estimation,2016,2,1
43,https://identifiers.org/ito:ITO_00101,Vision process,3D Human Pose Estimation,2017,0,11
44,https://identifiers.org/ito:ITO_00101,Vision process,3D Human Pose Estimation,2017,1,2
45,https://identifiers.org/ito:ITO_00101,Vision process,3D Human Pose Estimation,2017,2,1
46,https://identifiers.org/ito:ITO_00101,Vision process,3D Human Pose Estimation,2018,1,7
47,https://identifiers.org/ito:ITO_00101,Vision process,3D Human Pose Estimation,2018,0,1
48,https://identifiers.org/ito:ITO_00101,Vision process,3D Human Pose Estimation,2019,2,8
49,https://identifiers.org/ito:ITO_00101,Vision process,3D Human Pose Estimation,2019,1,5
50,https://identifiers.org/ito:ITO_00101,Vision process,3D Human Pose Estimation,2019,0,3
51,https://identifiers.org/ito:ITO_00101,Vision process,3D Human Pose Estimation,2019,3,1
52,https://identifiers.org/ito:ITO_00101,Vision process,3D Human Pose Estimation,2020,1,9
53,https://identifiers.org/ito:ITO_00101,Vision process,3D Human Pose Estimation,2020,2,4
54,https://identifiers.org/ito:ITO_00101,Vision process,3D Human Pose Estimation,2020,3,4
55,https://identifiers.org/ito:ITO_00101,Vision process,3D Human Pose Estimation,2020,0,1
56,https://identifiers.org/ito:ITO_00101,Vision process,3D Human Pose Estimation,2021,3,6
57,https://identifiers.org/ito:ITO_00101,Vision process,3D Human Pose Estimation,2021,2,5
58,https://identifiers.org/ito:ITO_00101,Vision process,3D Human Pose Estimation,2021,1,3
59,https://identifiers.org/ito:ITO_00101,Vision process,3D Human Pose Tracking,2021,0,1
60,https://identifiers.org/ito:ITO_00101,Vision process,3D Human Reconstruction,2020,0,1
61,https://identifiers.org/ito:ITO_00101,Vision process,3D Human Reconstruction,2021,3,1
62,https://identifiers.org/ito:ITO_00101,Vision process,3D Instance Segmentation,2018,0,3
63,https://identifiers.org/ito:ITO_00101,Vision process,3D Instance Segmentation,2019,0,8
64,https://identifiers.org/ito:ITO_00101,Vision process,3D Instance Segmentation,2019,1,1
65,https://identifiers.org/ito:ITO_00101,Vision process,3D Instance Segmentation,2020,1,6
66,https://identifiers.org/ito:ITO_00101,Vision process,3D Instance Segmentation,2020,2,4
67,https://identifiers.org/ito:ITO_00101,Vision process,3D Instance Segmentation,2020,3,1
68,https://identifiers.org/ito:ITO_00101,Vision process,3D Instance Segmentation,2021,3,10
69,https://identifiers.org/ito:ITO_00101,Vision process,3D Instance Segmentation,2021,0,4
70,https://identifiers.org/ito:ITO_00101,Vision process,3D Medical Imaging Segmentation,2017,0,1
71,https://identifiers.org/ito:ITO_00101,Vision process,3D Medical Imaging Segmentation,2018,2,1
72,https://identifiers.org/ito:ITO_00101,Vision process,3D Medical Imaging Segmentation,2019,3,1
73,https://identifiers.org/ito:ITO_00101,Vision process,3D Multi-Object Tracking,2018,0,2
